,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,Would you feel comfortable discussing a mental health issue with your coworkers?,Have you ever discussed your mental health with coworkers?,Have you ever had a coworker discuss their or another coworker's mental health with you?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",Do you have medical coverage (private insurance or state-provided) that includes treatment of mental health disorders?,Do you know local or online resources to seek help for a mental health issue?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health disorder to a client or business contact, how has this affected you or the relationship?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health disorder to a coworker or employee, how has this impacted you or the relationship?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Was your employer primarily a tech company/organization?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Did you ever discuss your mental health with your previous employer?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,"Overall, how much importance did your previous employer place on physical health?","Overall, how much importance did your previous employer place on mental health?",Do you currently have a mental health disorder?,Have you ever been diagnosed with a mental health disorder?,What disorder(s) have you been diagnosed with?,"If possibly, what disorder(s) do you believe you have?","If so, what disorder(s) were you diagnosed with?",Have you had a mental health disorder in the past?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,"If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?",Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Are you openly identified at work as a person with a mental health issue?,Has being identified as a person with a mental health issue affected your career?,How has it affected your career?,"If they knew you suffered from a mental health disorder, how do you think that team members/co-workers would react?",Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced supportive or well handled response to a mental health issue in your current or previous workplace?,"Overall, how well do you think the tech industry supports employees with mental health issues?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What is your race?,What country do you work in?,What US state or territory do you work in?,comments
78,False,500-1000,True,True,Not eligible for coverage / NA,,No,No,I don't know,I don't know,Physical health,No,False,No,False,False,8.0,5.0,,,,,,,,,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,6.0,5.0,Possibly,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,No,False,I don't know,Rarely,Sometimes,Maybe,5,No,No,False,,,5,Maybe/Not sure,Maybe/Not sure,3,31,Non binary,Portugal,,,Portugal,,
79,False,100-500,True,True,I don't know,No,No,I don't know,Yes,I don't know,Physical health,Maybe,False,Maybe,False,False,9.0,8.0,,,,,,,,,True,True,I don't know,N/A (was not aware),None did,None did,"Yes, always",Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,8.0,7.0,No,,,,,No,False,Yes,Not applicable to me,Not applicable to me,,7,Maybe,No,False,,,8,No,No,4,27,Masculine,Portugal,,,Portugal,,
80,False,More than 1000,False,True,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,False,Yes,False,False,6.0,7.0,,,,,,,,,True,False,I don't know,N/A (was not aware),I don't know,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,3.0,2.0,Possibly,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,No,False,Yes,Not applicable to me,Not applicable to me,,9,No,No,False,,,8,No,Maybe/Not sure,4,47,M,United States of America,Alabama,White,United States of America,Alabama,"Be very explicit about provided mental health benefits, and do so frequently."
81,False,100-500,False,True,Yes,Yes,No,Yes,Yes,Difficult,Physical health,Maybe,False,Maybe,False,False,6.0,4.0,,,,,,,,,False,,,,,,,,,,,,,,,Yes,Yes,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Possibly,True,Yes,Rarely,Often,No,8,No,No,False,,,4,No,No,3,24,Female,United States of America,Colorado,White,United States of America,Colorado,
82,False,100-500,True,True,Yes,Yes,No,No,Yes,Somewhat easy,Physical health,Yes,False,Maybe,False,False,7.0,3.0,,,,,,,,,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,True,7.0,2.0,No,,,,,No,True,No,Not applicable to me,Not applicable to me,,5,Maybe,No,False,,,6,No,No,1,36,Male,Portugal,,,Portugal,,
83,False,100-500,True,True,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Physical health,Maybe,False,Yes,False,False,8.0,5.0,,,,,,,,,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,6.0,5.0,No,,,,,No,False,I don't know,Not applicable to me,Not applicable to me,,8,Yes,Maybe,False,,,6,No,Maybe/Not sure,2,28,male,Portugal,,,Portugal,,Talk and encourage to talk about it. Add or expose mental healthcare.
84,False,500-1000,True,True,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Physical health,Maybe,True,Maybe,True,False,5.0,7.0,,,,,,,,,True,True,Some did,N/A (was not aware),None did,Some did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,,False,5.0,5.0,No,,,,,No,False,No,Not applicable to me,Not applicable to me,No,7,Maybe,Maybe,False,,,6,Maybe/Not sure,"Yes, I observed",2,34,Male,United Kingdom,,,United Kingdom,,"I discussed how caring for a partner with a mental illness my require flexibility in my schedule. This was well received and understood, Cosmetic smalltalk, Be considerably more careful about balancing good intentions with the accuracy and validity of the narrative and actions that are taken., The distinction between suffering a mental illness and being considerate of ones mental health is very important and increasingly misrepresented to the great determent of the care and understanding offered to those with a neurologically situated illness. Like many well meaning efforts in the arena of mental health this servery doesn't recognize that the support and care of others including partners and children can be an imposition to work and employment."
85,False,100-500,True,True,I don't know,No,No,No,I don't know,Somewhat easy,Physical health,Yes,False,Yes,True,True,5.0,5.0,,,,,,,,,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,"Yes, at all of my previous employers",False,True,5.0,5.0,No,,,,,No,False,No,Not applicable to me,Not applicable to me,,8,Maybe,No,False,,,10,No,"Yes, I observed",2,28,Male,Portugal,,,Portugal,,"break-up related, got support from them, don't remember, don't remember, make it less taboo"
86,False,500-1000,True,True,Yes,Yes,No,No,I don't know,I don't know,Physical health,No,False,No,False,False,7.0,4.0,,,,,,,,,True,True,Some did,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,6.0,4.0,No,,,,,Possibly,True,Yes,Not applicable to me,Not applicable to me,Maybe,9,Yes,No,False,,,3,"Yes, I observed",No,2,36,M,Portugal,,,Portugal,,"Burned out people was hired and fired in less than a month, Taboo matter"
87,False,100-500,True,True,Yes,Yes,I don't know,No,Yes,Somewhat easy,Physical health,Yes,False,Maybe,False,False,10.0,8.0,,,,,,,,,False,,,,,,,,,,,,,,,Don't Know,,,,,No,False,I don't know,Not applicable to me,Not applicable to me,No,7,Maybe,Maybe,False,,,10,No,No,4,24,male,Portugal,,,Portugal,,Raise awareness about mental issue and treat mental issue as a physical issue. 
88,False,6-25,True,True,Yes,Yes,No,No,Yes,I don't know,Physical health,Maybe,False,Maybe,False,False,5.0,5.0,,,,,,,,,True,True,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Physical health,Some of my previous supervisors,False,"Yes, at all of my previous employers",True,True,5.0,5.0,Possibly,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Eating Disorder (Anorexia, Bulimia, etc), Substance Use Disorder, Mood Disorder (Depression, Bipolar Disorder, etc), Personality Disorder (Borderline, Antisocial, Paranoid, etc), Stress Response Syndromes",,Possibly,True,Yes,Rarely,Sometimes,No,10,Maybe,No,False,,,5,No,"Yes, I experienced",4,32,Cishet male,United States of America,Colorado,White,United States of America,Colorado,"I disclosed that I have anxiety and that I needed space on a stressful day. I was immediately understood and supported and it was great!, It's happened a few times...usually to discuss a specific event in their life, but occasionally to discuss a diagnosis or a mental health issue in a broader sense. , Be more direct and open about supporting employees"
89,False,26-100,False,True,No,No,Yes,No,Yes,Very easy,Physical health,Maybe,False,Yes,True,True,5.0,3.0,,,,,,,,,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,0.0,0.0,Yes,Yes,,,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,True,I don't know,Sometimes,Often,No,6,Maybe,Maybe,False,,,6,Maybe/Not sure,"Yes, I observed",2,33,Male,United Kingdom,,,United Kingdom,,
90,False,100-500,True,True,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Physical health,Maybe,False,Maybe,False,False,6.0,5.0,,,,,,,,,True,True,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Physical health,Some of my previous supervisors,False,"No, at none of my previous employers",False,False,7.0,7.0,No,,,,,No,True,I don't know,Not applicable to me,Not applicable to me,No,7,Yes,Maybe,False,,,4,No,"Yes, I observed",3,39,Male,United States of America,California,More than one of the above,United States of America,California,"Better training for management and co-workers. Vocal and explicit support for mental health issues, including examples of what positive support looks like; explicit and persistent advertising of mental-health support resources; industry-awards for companies that handle the issue well, or at least more obviously including issues of mental-health support as one of the ""rating"" criteria for ""best places to work"". "
91,False,More than 1000,False,True,Yes,Yes,No,Yes,I don't know,I don't know,Physical health,No,False,No,False,True,7.0,5.0,,,,,,,,,False,,,,,,,,,,,,,,,Yes,Yes,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Post-traumatic Stress Disorder, Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,True,I don't know,Rarely,Often,Yes,5,Maybe,Maybe,False,,,1,"Yes, I experienced",No,3,26,female,United States of America,Colorado,More than one of the above,United States of America,Colorado,"They were depressed due to having chronic health issues and felt that they could not keep going because of how much effort it took that person to get up each morning and go to the doctor, The manager was not empathetic and just told me to get over it and go back to work. Their priorities are not to treat me, I think they struggle first and foremost with diversity. They think of themselves as a monolith but there are so many different people wanting to get into the industry."
92,False,100-500,True,True,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Physical health,Maybe,False,Yes,True,True,7.0,7.0,,,,,,,,,True,False,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,At some of my previous employers,True,False,5.0,2.0,Yes,Yes,,,Attention Deficit Hyperactivity Disorder,Yes,True,Yes,Sometimes,Often,No,8,Maybe,No,True,False,,8,Maybe/Not sure,"Yes, I observed",3,32,Female,United States of America,Michigan,White,United States of America,Michigan,"Discussed the affects of ADHD on my work habits and how to best support me. My team is supportive., General chats about anxiety and seasonal depression, things like that."
93,False,26-100,True,True,Yes,No,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,False,Yes,True,True,7.0,7.0,,,,,,,,,True,True,"No, none did",N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,True,At some of my previous employers,True,True,5.0,5.0,No,,,,,Yes,True,I don't know,Rarely,Rarely,No,8,Maybe,Maybe,False,,,5,No,No,3,42,Male,United Kingdom,,,United Kingdom,,Mental health first aid to be given equal standing to physical first aid.
94,False,More than 1000,True,True,Yes,Yes,No,Yes,I don't know,I don't know,Physical health,No,False,Maybe,,True,10.0,8.0,,,,,,,,,True,False,Some did,I was aware of some,None did,Some did,Sometimes,Physical health,"No, none of my previous supervisors",False,At some of my previous employers,True,True,6.0,0.0,Yes,Yes,,,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,False,I don't know,Never,Sometimes,Yes,1,No,No,False,,,0,"Yes, I observed","Yes, I observed",2,41,M,United States of America,Indiana,White,United States of America,Indiana,
95,False,100-500,True,True,Yes,Yes,Yes,No,I don't know,Somewhat difficult,Same level of comfort for each,No,False,Maybe,True,True,8.0,4.0,,,,,,,,,True,True,Some did,I was aware of some,Some did,Some did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,0.0,0.0,Possibly,,,"Stress Response Syndromes, Anxiety Disorder (Generalized, Social, Phobia, etc), Substance Use Disorder, Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,True,Yes,Sometimes,Sometimes,Yes,10,No,Maybe,False,,,6,"Yes, I experienced","Yes, I observed",2,32,Male,Canada,,,Canada,,"It was during a non-work event where liquor was involved - they were not surprised and had similar experiences, Feeling overwhelmed, overworked, and under supported by the company. 

They described the effects on their personal and professional life, and had a strong desire to leave the org., I was told to deal with it, and that problems like this would come up at any job ""it's just life"", Talk about it more (this HAS gotten better), deal with people feeling stigmatized for talking about how they actually feel.

Stop focusing on utilization/productivity as the only metric of success. The goal shouldn't be to find out how much work you can dump on someone before they break., Nope!"
96,False,More than 1000,False,True,No,Yes,No,Yes,I don't know,I don't know,Physical health,No,False,No,False,False,3.0,3.0,,,,,,,,,False,,,,,,,,,,,,,,,Don't Know,,,,,Don't Know,True,Yes,Sometimes,Sometimes,,0,No,No,False,,,2,No,No,1,32,F,United States of America,North Carolina,White,United States of America,North Carolina,"Help me, I’m so sad."
97,False,100-500,True,True,Yes,No,I don't know,Yes,I don't know,Very easy,Same level of comfort for each,Yes,False,Yes,False,False,7.0,8.0,,,,,,,,,True,True,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, they all did","Yes, always",Same level of comfort for each,"Yes, all of my previous supervisors",True,"Yes, at all of my previous employers",True,True,8.0,8.0,No,,,,,Yes,True,Yes,Sometimes,Often,No,4,No,No,False,,,7,No,Maybe/Not sure,3,31,Female,United States of America,California,White,United States of America,California,"I was able to easily arrange a four-day work week with my supervisor to work on improving my mental and physical health., Better support for flexible working arrangements (e.g., remote work, alternative working hours)."
98,False,100-500,True,True,Not eligible for coverage / NA,,No,No,I don't know,Somewhat easy,Physical health,Maybe,False,Yes,True,True,8.0,7.0,,,,,,,,,True,False,Some did,"Yes, I was aware of all of them",None did,None did,"Yes, always",Physical health,Some of my previous supervisors,True,At some of my previous employers,False,False,7.0,3.0,Yes,Yes,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Attention Deficit Hyperactivity Disorder, Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,True,Yes,Rarely,Often,No,9,No,No,True,False,,8,"Yes, I experienced","Yes, I observed",3,34,Non-binary,Switzerland,,,Switzerland,,"The context was a meeting between several coworkers, including one who was suffering greatly from anxiety, which was impeding her work. I explained that I could understand what she was going through because of my own experiences with anxiety and depression. My coworkers were all very understanding and it didn’t seem to change their behaviour with me., As I said above, I have a coworker who is having real difficulty coping with anxiety and their work. I have had brief conversations with several other coworkers about this person’s situation, as they are currently getting inpatient treatment for it and I’m the person on the team who knows them best. People are all very sensitive and worried about them. One coworker told me that although he worries about them, he can’t really understand what their troubles are and what they feel like, because he’s never had that experience himself. I considered trying to explain but didn’t think I would be able to., It went horribly. I was a PhD student and disclosed to my supervisors that I was suffering from depression and anxiety but was seeing a therapist and taking steps to feel better. (This was partly related to the poor progress of my project, and their supervision style.) They said they understood but treated me with a very kid-gloves approach for a few weeks, then demanded to ask mu therapist questions about me. Eventually I agreed to let them send their questions to an HR person, who would act as an intermediary between them and the therapist. They wanted to know if I was a danger to myself or others. The therapist replied that I was not. My supervisors then told me that the therapist’s answer showed that my illness was no excuse for the poor state of my project. They put me on a ten-week ‘improvement plan’ that was logically impossible to succeed at, and then pushed me out of the PhD studentship., Please see my answer above to the question about talking to a previous employer about a mental health disorder., Take it as seriously as physical health support."
99,False,More than 1000,True,True,Yes,No,Yes,Yes,I don't know,Difficult,Physical health,No,False,No,False,True,4.0,1.0,,,,,,,,,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,0.0,0.0,Possibly,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Dissociative Disorder, Personality Disorder (Borderline, Antisocial, Paranoid, etc), Attention Deficit Hyperactivity Disorder, Stress Response Syndromes, Anxiety Disorder (Generalized, Social, Phobia, etc)",,Possibly,False,Yes,Not applicable to me,Sometimes,Yes,1,Maybe,No,False,,,4,"Yes, I observed",No,2,36,None,United Kingdom,,,United Kingdom,,
100,False,100-500,True,True,I don't know,No,Yes,I don't know,Yes,Very easy,Physical health,Yes,False,No,False,False,10.0,10.0,,,,,,,,,True,False,"No, none did",N/A (none offered),None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,2.0,0.0,No,,,,,No,False,No,Not applicable to me,Not applicable to me,,3,Yes,No,False,,,7,"Yes, I observed","Yes, I experienced",3,33,male,Switzerland,,,Switzerland,,"People in a leave for mh issues laughed about, More remote work. More part-time work"
101,False,26-100,True,True,I don't know,No,No,I don't know,Yes,Somewhat easy,Physical health,Maybe,False,Maybe,False,False,5.0,5.0,,,,,,,,,True,False,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did","Yes, always",Same level of comfort for each,Some of my previous supervisors,True,At some of my previous employers,True,True,5.0,5.0,Yes,Yes,,,Substance Use Disorder,Yes,True,Yes,Never,Rarely,,10,No,No,False,,,7,No,"Yes, I experienced",3,30,male,United States of America,Tennessee,White,United States of America,Tennessee,Discussed substance abuse relapse and was able to set up treatment
102,False,26-100,True,True,I don't know,Yes,No,No,I don't know,Difficult,Physical health,Maybe,True,Yes,True,True,3.0,0.0,,,,,,,,,True,True,I don't know,N/A (was not aware),I don't know,None did,"Yes, always",Same level of comfort for each,Some of my previous supervisors,True,At some of my previous employers,True,True,5.0,3.0,Yes,Yes,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Post-traumatic Stress Disorder, Obsessive-Compulsive Disorder, Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,True,Yes,Sometimes,Often,Yes,8,Maybe,No,True,True,0.0,3,"Yes, I experienced","Yes, I experienced",1,45,Female,United States of America,Vermont,White,United States of America,Vermont,"The first set of people were fine and things were good for years. Switch to a new Management team and they didn't want to hear anything about it and said I had a victim mentality and fired me 2 days shy of 9 years of employment. , The long term co workers could tell when things weren't good. The new ones that knew didn't care or try to understand. , I had others who reached out to me for advice and help and i helped them. , They knew I was having issues and when I started taking medication. When they became a larger company no one cared anymore and let me go., Again, asked advice and I gave it., Get rid of open offices. Agile and more so scrum isn't conducive to any mental health issues and some other forms of disability. , 
"
103,False,More than 1000,True,True,Yes,No,Yes,Yes,I don't know,Very easy,Same level of comfort for each,Yes,False,Yes,True,True,7.0,7.0,,,,,,,,,True,True,I don't know,N/A (was not aware),None did,Some did,I don't know,Same level of comfort for each,"Yes, all of my previous supervisors",False,"Yes, at all of my previous employers",True,True,9.0,5.0,No,,,,,No,False,No,Not applicable to me,Not applicable to me,No,10,Yes,Yes,False,,,10,No,"Yes, I observed",4,30,Male,United States of America,Minnesota,White,United States of America,Minnesota,"I believe it was more day to day talk, how we are doing and what not. I try to be honest in those situations if it's kind of a crap day, I say why I'm not feeling the best and what is happening. Everyone here cares for one another so it's rather easy to be open., Same thing, day to day conversation., Day to day., Day to day., Preventative care measures, similar to a yearly physical, but a yearly mental checkup. Hour-long session to talk with someone and see if they can spot anything that could be an issue to them."
104,True,,,,,,,,,,,,,,,,,,True,"Yes, I know several","No, because it doesn't matter",,"Sometimes, if it comes up",Not applicable to me,Yes,1-25%,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,3.0,0.0,Possibly,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,Yes,True,Yes,Sometimes,Sometimes,,2,Maybe,No,False,,,3,No,No,3,48,Male,United Kingdom,,,United Kingdom,,
105,False,100-500,True,True,Yes,No,No,No,I don't know,Somewhat difficult,Physical health,No,False,Maybe,False,False,5.0,5.0,,,,,,,,,True,True,Some did,"No, I only became aware later",None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,True,5.0,5.0,Possibly,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,Don't Know,False,I don't know,Often,Often,Yes,6,Maybe,No,False,,,4,"Yes, I observed",Maybe/Not sure,3,29,Male,Portugal,,,Portugal,,"Anxiety, Depression, Impostor Syndrome, Identify common mental health issues related to work, known causes and how to avoid them"
106,True,,,,,,,,,,,,,,,,,,True,"Yes, I know several","Sometimes, if it comes up",I'm not sure,"Sometimes, if it comes up",I'm not sure,Yes,51-75%,True,True,"No, none did",N/A (none offered),None did,None did,Sometimes,Physical health,"No, none of my previous supervisors",True,At some of my previous employers,True,True,6.0,2.0,Yes,Yes,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Stress Response Syndromes, Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,True,I don't know,Rarely,Often,Yes,8,Maybe,Yes,True,True,4.0,3,"Yes, I experienced",No,2,35,Female-identified,Canada,,,Canada,,
107,False,100-500,True,True,I don't know,No,No,I don't know,I don't know,I don't know,Physical health,No,False,Maybe,True,False,5.0,2.0,,,,,,,,,True,False,I don't know,N/A (was not aware),I don't know,Some did,I don't know,Physical health,"No, none of my previous supervisors",False,At some of my previous employers,False,False,7.0,2.0,Yes,No,,,,,True,I don't know,Sometimes,Often,Yes,5,Maybe,No,False,,,4,"Yes, I observed",Maybe/Not sure,1,41,Male,United States of America,Indiana,White,United States of America,Indiana,"Informed them of my ADHD, General Anxiety and Depression issues, Person committed suicide"
108,False,26-100,False,True,Yes,Yes,No,No,Yes,Neither easy nor difficult,Same level of comfort for each,Maybe,False,Yes,True,True,1.0,5.0,,,,,,,,,True,False,Some did,I was aware of some,Some did,Some did,"Yes, always",Same level of comfort for each,Some of my previous supervisors,True,"Yes, at all of my previous employers",True,True,1.0,4.0,Possibly,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,No,False,Yes,Not applicable to me,Not applicable to me,No,10,Maybe,No,False,,,7,No,"Yes, I experienced",3,27,F,United States of America,Indiana,White,United States of America,Indiana,"Discussed anxiety and the flare-ups of it based on my relocation for this job.  Coworkers were understanding, related their own mental health/substance abuse recovery/related issues and offered suggestions on how to begin the process of finding a new therapist after relocation., Coworker began by sharing about a local organization they serve on the board of, dedicated to helping recovering opioid users, then shared their own history of substance abuse and ongoing recovery.  Another coworker shared their experience with panic attacks related to high-stakes work deliverables and how they manage it., I expressed concerns about my anxiety/panic attacks and how they were impacting my work.  My employer assured me that my work was meeting expectations and encouraged me to adjust my work schedule or routine as needed to ensure I was able to complete my work while also maintaining my mental health., I shared my ongoing anxiety problems and the impact it was having on my work (and how I felt about the work I was producing).  I received mixed responses: some coworkers told me to try yoga or essential oils or go vegan, but many responded by sharing that they had similar feelings and worried that they were alone in feeling that way., My coworker shared that they had become increasingly isolated and withdrawn after relocating and starting the position, because they felt that they didn't ""gel"" with the rest of the cohort and they were afraid to share those feelings in case it was perceived as weakness/lack of commitment., A lot of the emphasis on being a ""coding ninja"" or ""unicorn"" places pressure on people to always be productive, always be having good days. On top of impostor syndrome it also means there's a lot of pressure that contributes to anxiety and similar issues."
109,False,6-25,True,True,Yes,Yes,No,Yes,Yes,Very easy,Same level of comfort for each,Yes,True,Yes,True,True,8.0,8.0,,,,,,,,,True,True,"Yes, they all did",I was aware of some,Some did,Some did,Sometimes,Physical health,Some of my previous supervisors,True,At some of my previous employers,True,True,5.0,5.0,Possibly,,,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,True,I don't know,Sometimes,Often,No,9,Yes,Maybe,False,,,6,No,No,2,42,Male,United States of America,Nebraska,White,United States of America,Nebraska,"More awareness, more training. Mental Health First Aid for all managers."
110,False,100-500,True,True,I don't know,No,No,No,I don't know,I don't know,Physical health,Yes,False,Yes,True,True,5.0,3.0,,,,,,,,,True,False,I don't know,N/A (was not aware),Some did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,7.0,3.0,Possibly,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc)",,Possibly,True,Yes,Not applicable to me,Sometimes,No,8,Maybe,Maybe,False,,,8,No,Maybe/Not sure,2,32,male,United States of America,Kansas,White,United States of America,Kansas,I think as a whole America does a poor job of being supportive of mental health issues
111,False,100-500,True,True,I don't know,No,I don't know,I don't know,I don't know,Very easy,Physical health,Yes,False,Maybe,False,False,6.0,5.0,,,,,,,,,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,3.0,3.0,No,,,,,No,False,No,Not applicable to me,Not applicable to me,,7,Maybe,No,False,,,8,No,No,4,32,Male,United States of America,Nebraska,White,United States of America,Nebraska,More training for managers on how to identify and help.
112,False,1-5,True,True,Yes,Yes,No,No,Yes,Very easy,Same level of comfort for each,No,False,No,True,False,5.0,8.0,,,,,,,,,True,False,I don't know,N/A (was not aware),Some did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,5.0,4.0,Yes,Yes,,,"Attention Deficit Hyperactivity Disorder, Obsessive-Compulsive Disorder, Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,True,Yes,Rarely,Sometimes,No,8,Yes,Maybe,False,,,5,No,No,2,20,Woman,United States of America,Nebraska,White,United States of America,Nebraska,"Just talked about the types of medicine we take for anxiety, we didn’t get too deep into it, Ease back in the crunch time for developers, structure the work so employees have time to breathe and communicate calmly, Thank you!"
113,True,,,,,,,,,,,,,,,,,,False,I know some,"Sometimes, if it comes up",I'm not sure,"Sometimes, if it comes up",Positively,Yes,26-50%,True,False,"No, none did",N/A (none offered),None did,None did,No,Physical health,Some of my previous supervisors,False,At some of my previous employers,True,True,7.0,4.0,Yes,Yes,,,"Obsessive-Compulsive Disorder, Anxiety Disorder (Generalized, Social, Phobia, etc), Eating Disorder (Anorexia, Bulimia, etc), Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,True,Yes,Sometimes,Often,Maybe,8,Maybe,Maybe,False,,,6,Maybe/Not sure,"Yes, I experienced",2,24,woman,United States of America,Georgia,White,United States of America,Georgia,
114,False,500-1000,False,True,I don't know,No,Yes,I don't know,I don't know,Very easy,Same level of comfort for each,Yes,False,Maybe,False,False,6.0,6.0,,,,,,,,,True,False,I don't know,"No, I only became aware later",None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",False,At some of my previous employers,False,False,3.0,3.0,No,,,,,No,False,No,Not applicable to me,Not applicable to me,No,6,No,No,False,,,6,No,Maybe/Not sure,4,0,male,United States of America,Nebraska,White,United States of America,Nebraska,
