,Timestamp,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,Would you feel comfortable discussing a mental health issue with your coworkers?,Have you ever discussed your mental health with coworkers?,Have you ever had a coworker discuss their or another coworker's mental health with you?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",Do you have previous employers?,Was your employer primarily a tech company/organization?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Did you ever discuss your mental health with your previous employer?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,"Overall, how much importance did your previous employer place on physical health?","Overall, how much importance did your previous employer place on mental health?",Do you currently have a mental health disorder?,Have you had a mental health disorder in the past?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,"If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?",Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Are you openly identified at work as a person with a mental health issue?,"If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?",Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced a supportive or well handled response to a mental health issue in your current or previous workplace?,"Overall, how well do you think the tech industry supports employees with mental health issues?",What is your age?,What is your gender?,What country do you live in?,What is your race?,What country do you work in?
224,2017,0,More than 1000,1,1,Yes,Yes,No,No,No,Difficult,Physical health,No,0,No,0,0,3.0,0.0,1,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,3.0,0.0,Yes,Yes,1,Yes,Often,Often,Yes,7,No,No,0.0,1.0,"Yes, I experienced",No,1.0,45.0,female,United States of America,Caucasian,United States of America
225,2017,0,500-1000,1,1,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Physical health,Maybe,0,No,0,1,5.0,5.0,1,1,Some did,"No, I only became aware later",Some did,Some did,Sometimes,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,3.0,3.0,Possibly,Don't Know,0,No,Not applicable to me,Not applicable to me,Maybe,7,No,No,0.0,5.0,No,"Yes, I experienced",1.0,37.0,female,United States of America,Afrcian American,United States of America
226,2017,0,100-500,1,0,I don't know,No,No,I don't know,Yes,I don't know,Physical health,No,0,Maybe,1,1,9.0,9.0,1,0,"No, none did","Yes, I was aware of all of them",None did,None did,"Yes, always",Physical health,Some of my previous supervisors,0,"Yes, at all of my previous employers",1,1,10.0,10.0,Yes,Yes,1,Yes,Sometimes,Often,Maybe,8,No,No,0.0,4.0,No,No,4.0,24.0,female,United States of America,Caucasian,United States of America
227,2017,0,100-500,1,1,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Physical health,Yes,1,Maybe,1,1,9.0,9.0,1,1,Some did,I was aware of some,Some did,Some did,Sometimes,Physical health,Some of my previous supervisors,1,At some of my previous employers,1,0,5.0,2.0,Yes,Yes,1,Yes,Sometimes,Often,No,8,No,No,0.0,8.0,Maybe/Not sure,"Yes, I observed",3.0,33.0,female,United States of America,Caucasian,United States of America
228,2017,0,100-500,1,1,Yes,Yes,I don't know,Yes,I don't know,I don't know,Physical health,Yes,1,Maybe,0,1,7.0,5.0,1,0,Some did,I was aware of some,None did,Some did,I don't know,Physical health,Some of my previous supervisors,0,At some of my previous employers,1,1,8.0,3.0,No,No,0,Yes,Not applicable to me,Not applicable to me,Maybe,6,No,No,0.0,2.0,"Yes, I observed",Maybe/Not sure,4.0,35.0,female,United States of America,Caucasian,United States of America
229,2017,0,100-500,1,1,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Same level of comfort for each,Yes,1,Yes,1,0,6.0,8.0,1,1,Some did,I was aware of some,None did,Some did,I don't know,Physical health,"Yes, all of my previous supervisors",0,"Yes, at all of my previous employers",0,1,5.0,5.0,No,Yes,1,Yes,Not applicable to me,Not applicable to me,No,9,Yes,Yes,0.0,8.0,No,"Yes, I experienced",3.0,44.0,male,United States of America,Caucasian,United States of America
230,2017,0,100-500,1,0,Yes,No,No,Yes,I don't know,Very easy,Physical health,No,0,Maybe,0,0,5.0,5.0,1,1,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,7.0,5.0,No,No,0,No,Not applicable to me,Not applicable to me,No,3,Maybe,No,0.0,3.0,"Yes, I observed",No,2.0,33.0,male,United States of America,Caucasian,United States of America
231,2017,0,100-500,1,0,I don't know,No,I don't know,No,Yes,Very easy,Physical health,Maybe,0,Maybe,0,0,7.0,7.0,1,1,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,5.0,2.0,No,No,0,No,Not applicable to me,Not applicable to me,No,2,No,No,0.0,4.0,No,Maybe/Not sure,3.0,28.0,female,United States of America,Caucasian,United States of America
233,2017,0,100-500,1,1,Yes,No,No,I don't know,I don't know,Very easy,Physical health,Yes,0,Yes,1,1,10.0,8.0,1,1,I don't know,N/A (was not aware),None did,None did,No,Physical health,"Yes, all of my previous supervisors",0,"Yes, at all of my previous employers",0,0,8.0,6.0,No,Yes,1,No,Not applicable to me,Not applicable to me,No,7,Yes,Yes,0.0,8.0,No,"Yes, I observed",4.0,31.0,male,Sweden,Caucasian,Sweden
234,2017,0,6-25,1,1,No,No,No,No,I don't know,Very easy,Same level of comfort for each,Yes,1,Yes,1,0,6.0,6.0,1,1,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,0,"No, at none of my previous employers",0,0,4.0,0.0,Yes,Yes,0,I don't know,Sometimes,Often,No_Answer,9,No,No,1.0,5.0,Maybe/Not sure,"Yes, I experienced",2.0,33.0,male,Ireland,Caucasian,Ireland
235,2017,0,100-500,1,1,No,No,No,No,Yes,Very easy,Same level of comfort for each,Yes,1,Yes,1,1,7.0,5.0,1,1,"No, none did",N/A (none offered),None did,None did,No,Physical health,Some of my previous supervisors,1,"No, at none of my previous employers",0,0,8.0,2.0,Yes,Yes,1,No,Sometimes,Sometimes,No,10,Yes,Yes,0.0,8.0,"Yes, I experienced","Yes, I experienced",3.0,37.0,male,United Kingdom,Caucasian,United Kingdom
236,2017,0,6-25,1,1,I don't know,No,No,No,I don't know,Somewhat easy,Physical health,Maybe,0,No,0,1,9.0,3.0,1,0,I don't know,N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,5.0,2.0,No,No,0,No,Not applicable to me,Not applicable to me,No,3,Yes,Maybe,0.0,10.0,"Yes, I observed",No,4.0,27.0,male,Switzerland,Caucasian,Switzerland
237,2017,0,6-25,1,1,Yes,No,No,I don't know,No,Neither easy nor difficult,Physical health,Yes,1,Yes,1,1,7.0,7.0,1,1,I don't know,N/A (was not aware),I don't know,None did,I don't know,Physical health,"Yes, all of my previous supervisors",0,"No, at none of my previous employers",0,0,8.0,8.0,No,No,0,No,Not applicable to me,Not applicable to me,No,4,No,No,0.0,7.0,Maybe/Not sure,"Yes, I experienced",3.0,31.0,male,Netherlands,Caucasian,Netherlands
238,2017,0,More than 1000,1,1,No,No,No,No,I don't know,Somewhat difficult,Physical health,Maybe,1,Maybe,1,1,9.0,6.0,1,1,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,At some of my previous employers,0,0,10.0,3.0,Possibly,Possibly,1,I don't know,Not applicable to me,Not applicable to me,Yes,9,Maybe,No,0.0,4.0,Maybe/Not sure,No,4.0,40.0,male,United Kingdom,Caucasian,United Kingdom
239,2017,0,More than 1000,1,1,No,Yes,No,No,I don't know,Very easy,Same level of comfort for each,Yes,1,Yes,1,1,8.0,6.0,1,1,"No, none did",N/A (none offered),I don't know,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,1,At some of my previous employers,1,0,8.0,6.0,No,Yes,1,No,Rarely,Often,No,10,Maybe,Maybe,0.0,5.0,No,No,3.0,32.0,male,Spain,Caucasian,Spain
240,2017,0,100-500,1,1,Yes,No,Yes,Yes,Yes,Very easy,Mental health,Yes,0,Yes,1,1,8.0,8.0,1,1,"Yes, they all did",I was aware of some,None did,Some did,"Yes, always",Same level of comfort for each,"No, none of my previous supervisors",0,"No, at none of my previous employers",1,1,9.0,6.0,Yes,Yes,1,Yes,Sometimes,Often,Maybe,9,No,Maybe,1.0,10.0,Maybe/Not sure,"Yes, I experienced",5.0,33.0,male,United States of America,Caucasian,United States of America
241,2017,0,6-25,1,0,I don't know,No,No,No,I don't know,Somewhat difficult,Physical health,Yes,0,Yes,1,1,0.0,5.0,1,0,"No, none did",N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,0.0,0.0,Possibly,Yes,1,I don't know,Sometimes,Sometimes,Yes,7,No,No,0.0,4.0,No,"Yes, I experienced",3.0,21.0,male,United States of America,Caucasian,United States of America
243,2017,0,6-25,1,1,No,No,Yes,No,I don't know,Somewhat easy,Physical health,Yes,1,Maybe,1,0,7.0,7.0,1,0,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,0,"No, at none of my previous employers",0,0,5.0,5.0,Yes,Yes,1,Yes,Sometimes,Often,No_Answer,7,Yes,No,0.0,7.0,No,"Yes, I observed",3.0,44.0,female,Australia,Caucasian,Australia
244,2017,0,6-25,1,1,I don't know,No,No,No,I don't know,I don't know,Physical health,Maybe,0,Maybe,0,1,5.0,3.0,1,1,Some did,I was aware of some,None did,None did,I don't know,Physical health,Some of my previous supervisors,0,"No, at none of my previous employers",0,1,5.0,5.0,No,No,0,I don't know,Not applicable to me,Not applicable to me,No,5,No,No,0.0,5.0,No,Maybe/Not sure,3.0,38.0,female,United States of America,Caucasian,United States of America
245,2017,0,100-500,1,1,Yes,No,No,No,I don't know,Somewhat easy,Same level of comfort for each,Yes,0,Yes,1,0,9.0,8.0,1,1,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,1,At some of my previous employers,0,1,7.0,6.0,Possibly,Possibly,1,Yes,Sometimes,Sometimes,Maybe,9,Yes,Maybe,0.0,8.0,No,No,3.0,27.0,female,United States of America,Caucasian,United States of America
247,2017,0,More than 1000,1,1,Yes,No,Yes,Yes,I don't know,Neither easy nor difficult,Physical health,Maybe,1,Maybe,0,0,6.0,5.0,1,1,Some did,I was aware of some,Some did,Some did,I don't know,Physical health,Some of my previous supervisors,1,"No, at none of my previous employers",0,0,6.0,3.0,Possibly,Yes,1,No,Rarely,Often,No,3,Maybe,No,0.0,5.0,Maybe/Not sure,"Yes, I observed",3.0,36.0,male,United States of America,Caucasian,United States of America
248,2017,0,1-5,1,1,Not eligible for coverage / NA,No,Yes,No,Yes,Somewhat easy,Physical health,Yes,1,Yes,0,0,7.0,7.0,1,1,I don't know,N/A (was not aware),None did,None did,"Yes, always",Physical health,Some of my previous supervisors,0,At some of my previous employers,0,0,7.0,7.0,No,Possibly,0,Yes,Rarely,Rarely,No,9,Maybe,Maybe,0.0,8.0,Maybe/Not sure,"Yes, I experienced",3.0,30.0,male,United Kingdom,Caucasian,United Kingdom
249,2017,0,More than 1000,1,1,Yes,Yes,I don't know,Yes,I don't know,Very easy,Physical health,Yes,1,Yes,1,1,5.0,4.0,1,0,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",1,"No, at none of my previous employers",0,1,5.0,3.0,Yes,Don't Know,1,Yes,Not applicable to me,Sometimes,Yes,5,No,No,0.0,4.0,"Yes, I experienced","Yes, I experienced",3.0,35.0,male,United Kingdom,Caucasian,United Kingdom
250,2017,0,26-100,1,1,No,No,No,No,I don't know,Very easy,Mental health,Maybe,0,Yes,0,0,9.0,2.0,1,0,"No, none did","No, I only became aware later",None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,1,7.0,2.0,Don't Know,No,0,No,Rarely,Sometimes,No,5,Maybe,No,1.0,5.0,No,Maybe/Not sure,2.0,30.0,male,Argentina,Caucasian,Argentina
251,2017,0,26-100,1,1,No,No,No,No,I don't know,Neither easy nor difficult,Physical health,Maybe,0,Yes,1,1,5.0,5.0,1,1,"No, none did",N/A (none offered),Some did,None did,I don't know,Physical health,Some of my previous supervisors,0,At some of my previous employers,0,0,7.0,5.0,Don't Know,No,0,Yes,Not applicable to me,Not applicable to me,No,5,Maybe,No,0.0,7.0,Maybe/Not sure,"Yes, I observed",3.0,32.0,male,New Zealand,Caucasian,New Zealand
252,2017,0,500-1000,1,1,Yes,Yes,No,I don't know,I don't know,Very easy,Same level of comfort for each,Yes,0,Yes,0,1,8.0,8.0,1,1,I don't know,N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,I don't know,0,At some of my previous employers,0,0,9.0,5.0,No,No,0,No,Not applicable to me,Not applicable to me,No,7,Yes,Maybe,0.0,9.0,No,"Yes, I observed",3.0,33.0,male,Australia,Caucasian,Australia
253,2017,0,6-25,1,1,No,No,No,No,I don't know,Very easy,Physical health,Yes,0,Maybe,0,1,5.0,5.0,1,0,"No, none did",N/A (none offered),None did,None did,"Yes, always",Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,3.0,0.0,No,No,0,No,Not applicable to me,Not applicable to me,No,7,Maybe,Maybe,0.0,7.0,Maybe/Not sure,"Yes, I observed",2.0,48.0,male,New Zealand,Caucasian,New Zealand
254,2017,0,26-100,1,1,No,Yes,No,No,I don't know,Somewhat easy,Physical health,No,0,No,0,0,8.0,6.0,1,1,Some did,I was aware of some,None did,None did,I don't know,Physical health,Some of my previous supervisors,0,"No, at none of my previous employers",0,0,8.0,6.0,No,No,0,No,Not applicable to me,Not applicable to me,No,7,No,Maybe,0.0,8.0,Maybe/Not sure,"Yes, I observed",2.0,32.0,male,Netherlands,Caucasian,Netherlands
255,2017,0,100-500,1,1,I don't know,No,No,No,I don't know,Somewhat easy,Physical health,No,0,Maybe,1,0,5.0,4.0,1,1,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,7.0,4.0,Yes,Yes,1,Yes,Rarely,Often,No_Answer,5,Maybe,No,0.0,7.0,"Yes, I observed",No,1.0,45.0,male,United Kingdom,Caucasian,United Kingdom
256,2017,0,500-1000,1,1,I don't know,No,No,No,I don't know,I don't know,Physical health,No,0,Maybe,1,0,5.0,3.0,1,1,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,0,At some of my previous employers,0,0,5.0,3.0,No,No,0,No,Not applicable to me,Not applicable to me,No_Answer,5,No,Maybe,0.0,8.0,No,No,2.0,31.0,male,Romania,Caucasian,Romania
259,2017,0,100-500,1,1,No,No,No,No,I don't know,I don't know,Same level of comfort for each,No,0,No,0,0,7.0,7.0,1,1,"No, none did",N/A (none offered),None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,7.0,7.0,No,No,0,No,Not applicable to me,Not applicable to me,No_Answer,1,No,No,0.0,1.0,Maybe/Not sure,Maybe/Not sure,1.0,29.0,male,Poland,Caucasian,Poland
260,2017,0,100-500,1,0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Physical health,Yes,1,Maybe,0,0,6.0,9.0,1,0,Some did,I was aware of some,None did,None did,"Yes, always",Physical health,Some of my previous supervisors,0,At some of my previous employers,0,0,2.0,2.0,Possibly,Yes,1,I don't know,Rarely,Sometimes,Maybe,6,No,No,0.0,7.0,"Yes, I experienced","Yes, I observed",3.0,51.0,female,United States of America,Caucasian,United States of America
261,2017,0,26-100,1,1,Yes,Yes,Yes,No,I don't know,I don't know,Physical health,Yes,0,Yes,0,1,6.0,8.0,1,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,5.0,3.0,No,Possibly,0,No,Not applicable to me,Not applicable to me,Yes,3,No,No,0.0,8.0,"Yes, I experienced","Yes, I observed",3.0,33.0,female,United States of America,Caucasian,United States of America
262,2017,0,100-500,1,1,Yes,Yes,No,No,Yes,Neither easy nor difficult,Physical health,Maybe,1,Yes,1,1,7.0,7.0,1,0,Some did,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,0,At some of my previous employers,0,0,4.0,4.0,Yes,Yes,1,Yes,Sometimes,Often,Yes,9,No,No,1.0,9.0,"Yes, I experienced","Yes, I experienced",4.0,27.0,male,United States of America,Caucasian,United States of America
263,2017,0,6-25,1,1,Yes,No,No,I don't know,I don't know,Somewhat difficult,Physical health,No,0,No,0,1,3.0,3.0,1,1,I don't know,N/A (was not aware),None did,Some did,Sometimes,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,1,3.0,2.0,No,No,0,I don't know,Not applicable to me,Not applicable to me,Maybe,0,Maybe,No,0.0,3.0,"Yes, I experienced",No,2.0,42.0,male,United States of America,Caucasian,United States of America
264,2017,0,6-25,1,0,Not eligible for coverage / NA,No,Yes,No,Yes,Neither easy nor difficult,Physical health,Yes,1,Maybe,1,1,7.0,7.0,1,1,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,At some of my previous employers,0,1,4.0,2.0,No,No,0,No,Not applicable to me,Not applicable to me,No,5,Yes,Maybe,0.0,3.0,"Yes, I observed","Yes, I observed",2.0,47.0,male,Australia,Caucasian,Australia
265,2017,0,26-100,1,1,Not eligible for coverage / NA,No,Yes,I don't know,I don't know,Very easy,Physical health,Yes,1,Yes,1,1,7.0,7.0,1,1,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,1,At some of my previous employers,0,0,7.0,7.0,Yes,Possibly,1,I don't know,Never,Sometimes,No,5,Maybe,No,0.0,6.0,No,"Yes, I observed",3.0,31.0,female,Netherlands,Caucasian,Netherlands
267,2017,0,100-500,1,1,I don't know,No,No,No,I don't know,Somewhat easy,Same level of comfort for each,Maybe,0,Maybe,0,0,5.0,5.0,1,1,I don't know,N/A (was not aware),Some did,Some did,Sometimes,Same level of comfort for each,Some of my previous supervisors,0,At some of my previous employers,0,0,3.0,3.0,No,Yes,0,Yes,Rarely,Sometimes,Maybe,5,No,No,0.0,2.0,"Yes, I observed","Yes, I observed",2.0,58.0,male,Belgium,Caucasian,Belgium
268,2017,0,6-25,1,1,No,No,No,No,I don't know,Somewhat difficult,Physical health,No,0,No,0,0,1.0,1.0,1,1,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,1.0,1.0,Don't Know,Don't Know,0,I don't know,Not applicable to me,Not applicable to me,No_Answer,3,No,No,0.0,1.0,No,No,1.0,42.0,female,Spain,Caucasian,Spain
269,2017,0,100-500,1,1,I don't know,No,I don't know,No,I don't know,Neither easy nor difficult,Physical health,No,0,No,0,0,9.0,8.0,1,1,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,6.0,6.0,Yes,Yes,1,Yes,Rarely,Often,No,2,Maybe,No,0.0,9.0,No,"Yes, I observed",1.0,41.0,male,Germany,Caucasian,Germany
270,2017,0,More than 1000,1,1,Yes,Yes,No,No,Yes,Very easy,Physical health,No,0,No,0,1,8.0,10.0,1,1,"Yes, they all did","No, I only became aware later","Yes, they all did","Yes, they all did","Yes, always",Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,8.0,6.0,Possibly,Possibly,0,No,Sometimes,Rarely,No,6,Yes,Maybe,1.0,5.0,"Yes, I experienced","Yes, I experienced",3.0,25.0,male,India,Caucasian,India
271,2017,0,More than 1000,1,1,Yes,Yes,Yes,Yes,Yes,Very easy,Physical health,Yes,1,No,1,1,9.0,9.0,1,1,Some did,"No, I only became aware later",None did,None did,I don't know,Physical health,Some of my previous supervisors,0,"No, at none of my previous employers",0,0,6.0,3.0,No,Yes,1,No,Often,Often,No,7,Yes,No,0.0,8.0,Maybe/Not sure,"Yes, I observed",3.0,31.0,female,United States of America,Caucasian,United States of America
272,2017,0,26-100,1,1,No,No,No,No,I don't know,Somewhat easy,Same level of comfort for each,Yes,1,Maybe,1,0,7.0,2.0,1,1,"No, none did",N/A (none offered),None did,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,0,At some of my previous employers,1,0,7.0,2.0,Yes,Don't Know,1,I don't know,Rarely,Sometimes,No,9,No,No,0.0,5.0,Maybe/Not sure,Maybe/Not sure,2.0,42.0,male,United States of America,Caucasian,United States of America
273,2017,0,More than 1000,1,1,Yes,Yes,No,Yes,Yes,Very easy,Physical health,Maybe,1,No,1,1,8.0,5.0,1,0,I don't know,I was aware of some,None did,Some did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,6.0,1.0,Yes,Yes,1,Yes,Sometimes,Often,Yes,8,Yes,Maybe,0.0,6.0,Maybe/Not sure,Maybe/Not sure,2.0,35.0,other,United States of America,Caucasian,United States of America
274,2017,0,More than 1000,1,1,Yes,Yes,No,No,No,Neither easy nor difficult,Physical health,Maybe,0,No,0,0,9.0,3.0,1,1,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,7.0,0.0,Don't Know,Yes,1,No,Not applicable to me,Not applicable to me,No_Answer,5,Maybe,No,0.0,5.0,"Yes, I observed",No,2.0,24.0,male,Mexico,Caucasian,Mexico
275,2017,0,More than 1000,1,1,Yes,No,Yes,Yes,I don't know,I don't know,Physical health,Maybe,0,Maybe,0,0,10.0,5.0,1,1,Some did,I was aware of some,None did,Some did,I don't know,Physical health,Some of my previous supervisors,1,At some of my previous employers,1,1,8.0,1.0,Yes,No,1,Yes,Never,Often,Yes,9,No,No,0.0,4.0,"Yes, I observed",No,3.0,37.0,male,United States of America,Caucasian,United States of America
276,2017,0,More than 1000,1,1,I don't know,No,Yes,I don't know,I don't know,Neither easy nor difficult,Physical health,No,0,No,0,1,5.0,6.0,1,1,"No, none did","No, I only became aware later",None did,Some did,No,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,1,3.0,3.0,Don't Know,No,0,No,Not applicable to me,Not applicable to me,Yes,2,Maybe,No,0.0,5.0,"Yes, I observed",No,2.0,32.0,male,Japan,Caucasian,Japan
279,2017,0,26-100,1,1,No,No,I don't know,No,I don't know,Difficult,Physical health,Maybe,0,No,0,0,7.0,3.0,1,1,"No, none did",N/A (none offered),None did,None did,No,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,7.0,0.0,Possibly,Possibly,1,I don't know,Sometimes,Often,No_Answer,4,Maybe,No,0.0,5.0,Maybe/Not sure,No,1.0,30.0,male,United States of America,Caucasian,United States of America
280,2017,0,More than 1000,1,1,I don't know,No,No,No,I don't know,I don't know,Physical health,No,0,No,0,0,2.0,5.0,1,1,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,0.0,4.0,Don't Know,Don't Know,0,I don't know,Not applicable to me,Not applicable to me,No,0,Yes,No,0.0,5.0,No,No,2.0,27.0,male,France,Caucasian,France
282,2017,0,6-25,1,1,I don't know,No,No,No,I don't know,Somewhat easy,Physical health,Maybe,0,No,0,0,7.0,7.0,1,1,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,I don't know,0,"No, at none of my previous employers",0,0,6.0,6.0,Possibly,Yes,1,I don't know,Rarely,Rarely,No,6,No,No,0.0,7.0,No,No,3.0,41.0,male,United States of America,Caucasian,United States of America
283,2017,0,26-100,1,1,Yes,No,No,I don't know,I don't know,Difficult,Physical health,Maybe,0,No,0,0,8.0,5.0,1,1,I don't know,N/A (was not aware),Some did,Some did,Sometimes,Physical health,Some of my previous supervisors,0,At some of my previous employers,0,0,5.0,5.0,No,No,0,No,Not applicable to me,Not applicable to me,No_Answer,6,No,No,0.0,2.0,Maybe/Not sure,No,2.0,39.0,male,United States of America,Caucasian,United States of America
284,2017,0,More than 1000,1,1,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Maybe,1,Maybe,1,0,9.0,6.0,1,1,Some did,I was aware of some,None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,At some of my previous employers,0,0,5.0,4.0,Yes,Yes,1,No,Sometimes,Often,No,9,Yes,Maybe,0.0,5.0,"Yes, I experienced","Yes, I experienced",3.0,42.0,male,United States of America,Caucasian,United States of America
285,2017,0,1-5,1,0,Yes,No,No,No,Yes,Very easy,Same level of comfort for each,Yes,1,Yes,1,1,8.0,8.0,1,0,"No, none did",N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,At some of my previous employers,0,0,5.0,3.0,Yes,Yes,1,Yes,Rarely,Sometimes,No,10,Yes,Maybe,1.0,9.0,Maybe/Not sure,"Yes, I observed",3.0,28.0,female,United States of America,Caucasian,United States of America
286,2017,0,6-25,1,1,No,No,No,No,I don't know,Difficult,Physical health,No,0,Maybe,0,0,7.0,3.0,1,0,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,At some of my previous employers,1,0,5.0,3.0,Yes,Yes,1,No,Sometimes,Often,Maybe,1,Yes,No,0.0,8.0,No,No,3.0,29.0,male,United States of America,Caucasian,United States of America
287,2017,0,More than 1000,1,1,Yes,No,No,I don't know,I don't know,Very easy,Physical health,Maybe,0,Yes,0,1,5.0,5.0,1,0,I don't know,N/A (was not aware),Some did,Some did,I don't know,Physical health,Some of my previous supervisors,0,At some of my previous employers,0,0,0.0,0.0,No,Yes,1,No,Not applicable to me,Not applicable to me,No_Answer,2,No,No,0.0,6.0,No,"Yes, I observed",2.0,46.0,male,United States of America,Caucasian,United States of America
288,2017,0,More than 1000,1,1,Yes,Yes,Yes,Yes,Yes,Very easy,Same level of comfort for each,Maybe,0,Maybe,0,0,8.0,7.0,1,1,"Yes, they all did",I was aware of some,Some did,Some did,"Yes, always",Same level of comfort for each,I don't know,0,"No, at none of my previous employers",0,0,8.0,5.0,Don't Know,No,0,No,Rarely,Rarely,No,10,Yes,Yes,0.0,8.0,No,No,2.0,34.0,male,United States of America,Caucasian,United States of America
