,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,Would you feel comfortable discussing a mental health issue with your coworkers?,Have you ever discussed your mental health with coworkers?,Have you ever had a coworker discuss their or another coworker's mental health with you?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",Do you have medical coverage (private insurance or state-provided) that includes treatment of mental health disorders?,Do you know local or online resources to seek help for a mental health issue?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health disorder to a client or business contact, how has this affected you or the relationship?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health disorder to a coworker or employee, how has this impacted you or the relationship?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Was your employer primarily a tech company/organization?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Did you ever discuss your mental health with your previous employer?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,"Overall, how much importance did your previous employer place on physical health?","Overall, how much importance did your previous employer place on mental health?",Do you currently have a mental health disorder?,Have you ever been diagnosed with a mental health disorder?,Have you had a mental health disorder in the past?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,"If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?",Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Are you openly identified at work as a person with a mental health issue?,Has being identified as a person with a mental health issue affected your career?,How has it affected your career?,"If they knew you suffered from a mental health disorder, how do you think that team members/co-workers would react?",Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced supportive or well handled response to a mental health issue in your current or previous workplace?,"Overall, how well do you think the tech industry supports employees with mental health issues?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What is your race?,What country do you work in?,What US state or territory do you work in?,What disorder(s) have you been diagnosed with?,"If possibly, what disorder(s) do you believe you have?","If so, what disorder(s) were you diagnosed with?",comments
117,0,6-25,1.0,1.0,I don't know,No,No,No,I don't know,Neither easy nor difficult,Physical health,Maybe,0.0,Maybe,0.0,1.0,3.0,3.0,,,,,,,,,1,1.0,Some did,"No, I only became aware later",None did,None did,No,Same level of comfort for each,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,2.0,2.0,Yes,Yes,Yes,1,Yes,Often,Often,Yes,2,No,No,0,,,2,"Yes, I observed",No,3,31,Female,United States of America,Illinois,White,United States of America,Illinois,,,"Mood Disorder (Depression, Bipolar Disorder, etc)","it wasn't a good thing. mostly off hand comments about people being ""crazy"" or ""off their meds"", comments about others' behavior/ health as a negative. mental health as a pejorative (a crazy person) and my biggest annoyance - confusing bipolar / multiple personalities with ""Schizo"" , allow remote and flexible work to accommodate appointments;  discuss mental health when onboarding new employees and talking about benefits; promote diverse people and background to normalize, tech is doing better with mental health than other industries.  I see other companies that are good about letting  folks who need to go to appointments during the day, take personal time, etc. It is at least better than other industries. "
118,0,More than 1000,0.0,1.0,Yes,Yes,No,I don't know,Yes,Very easy,Same level of comfort for each,Yes,0.0,Yes,1.0,1.0,7.0,7.0,,,,,,,,,1,0.0,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",Physical health,"No, none of my previous supervisors",0.0,At some of my previous employers,0.0,0.0,4.0,4.0,Yes,Yes,No,1,I don't know,Often,Often,Maybe,10,No,No,1,0.0,,7,No,No,4,35,Female,United States of America,Maryland,Black or African American,United States of America,Maryland,,,"Post-traumatic Stress Disorder, Dissociative Disorder, ADD","Started talking about stress, Talking about medication , Increase services and awareness "
119,0,500-1000,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Physical health,Maybe,0.0,Yes,1.0,1.0,8.0,8.0,,,,,,,,,1,1.0,I don't know,N/A (was not aware),I don't know,Some did,I don't know,Physical health,Some of my previous supervisors,0.0,At some of my previous employers,,1.0,9.0,5.0,Possibly,,Possibly,1,Yes,Not applicable to me,Not applicable to me,No,8,Maybe,No,0,,,4,"Yes, I experienced",Maybe/Not sure,2,27,Female,United States of America,California,Black or African American,United States of America,California,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,"In discussing our workload, my coworker and I have talked about how we fit in to the current environment, and how stressful it feels to be left out of certain conversations, both in person and electronically. The conversation's purpose was definitely to vent - she and I both shared similar feelings, and were able to confide in one another in a meaningful way. , See answer to letter O., My colleague was experiencing work burnout due to a number of factors (we had very high expectations when it came to work output, and the job demanded a fair amount of travel). When she expressed this feeling of burnout, her options to mitigate the problem were pretty limited - take on less work (and get paid less, since we were contractors), or forfeit her contract, neither of which were viable options considering she was the sole breadwinner between her and her husband. She ended up grinning and bearing with it at a comparably intense level, then became pregnant and eventually quit the job. I suspect that had she received proper support, she would have stayed with the company even during her pregnancy. , I think the first step is acknowledging mental health as a priority in the tech community. In this industry, there's huge emphasis placed on output of information, data, and tangible results - often at the expense of the employees actually producing these results. Recognition and acknowledgment on a real, fundamental level would do a lot to change companies' stances on mental health. "
120,0,100-500,1.0,1.0,Yes,No,No,Yes,Yes,Somewhat easy,Physical health,Yes,0.0,Maybe,1.0,1.0,6.0,8.0,,,,,,,,,1,1.0,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, they all did","Yes, always",Physical health,Some of my previous supervisors,1.0,At some of my previous employers,0.0,0.0,8.0,8.0,No,,Yes,1,Yes,Rarely,Sometimes,,6,No,No,0,,,6,No,No,3,42,Female,United States of America,Texas,White,United States of America,Texas,,,,"My manager (and longtime friend) and I discuss depression and mindfulness meditation, supporting each other through difficult times., I was a sympathetic ear as my coworker navigated his divorce., As I was going through a difficult time, I asked my manager above all to not treat me differently nor attribute my actions at work to stuff going on outside of work., Get rid of open floorplans; allow more work-from-home days. The constant distractions from other people is aggravating., Some men in tech bravely speak out about their struggles with depression and anxiety, but I don't think women are afforded the same support and respect. It would damage my career to write one of those confessional blog posts."
121,1,,,,,,,,,,,,,,,,,,1.0,"Yes, I know several","No, because it doesn't matter",,"Sometimes, if it comes up",Positively,Not applicable to me,,1,0.0,"Yes, they all did",I was aware of some,None did,None did,"Yes, always",Physical health,Some of my previous supervisors,1.0,"No, at none of my previous employers",0.0,1.0,5.0,4.0,No,,Yes,1,No,Rarely,Not applicable to me,,5,Maybe,No,0,,,5,"Yes, I observed","Yes, I experienced",2,67,Female,United States of America,Tennessee,White,United States of America,Tennessee,,,,"I was diagnosed with PTSD during a time when my supervisor was under investigation for embezzling and I had access to some of the paper trail. He retaliated. I worked with his superiors, who were very supportive., It was mostly vicious (if true) gossip about a coworker having been institutionalized for a long time., See above, about employee who was previously institutionalized. Her supervisor was the one gossiping., More emphasis on things like meditation and other techniques to increase happiness, Thanks for doing this work!"
122,0,More than 1000,0.0,1.0,Yes,Yes,No,No,Yes,Somewhat easy,Physical health,No,0.0,No,1.0,0.0,5.0,2.0,,,,,,,,,1,1.0,Some did,I was aware of some,None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,5.0,0.0,Yes,Yes,Yes,1,Yes,Rarely,Often,,9,Maybe,No,0,,,4,"Yes, I observed","Yes, I observed",3,56,male,United States of America,California,White,United States of America,California,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Substance Use Disorder","In a conversation about other matters, I included ""this, that, this, and by the way since I have __disorder__ it makes ..."" so it was a side issue but relevant to the main issue. Coworkers simply took it in stride as a relevant consideration., Office gossip about the person.  I don't know if it affected their career progress., Raise awareness - mental health is mostly like physical health. Diabetes and Depression are both caused by the inability of an organ to regulate chemical balances in the body., I think the main problem is _Ignorance_ about the causes and the effects of mental illness."
123,0,6-25,1.0,1.0,Yes,No,No,No,I don't know,Neither easy nor difficult,Same level of comfort for each,Maybe,1.0,Maybe,1.0,0.0,3.0,3.0,,,,,,,,,1,0.0,"No, none did","No, I only became aware later",Some did,"Yes, they all did",I don't know,Same level of comfort for each,Some of my previous supervisors,1.0,"Yes, at all of my previous employers",1.0,1.0,2.0,2.0,Yes,Yes,Yes,1,Yes,Often,Often,Yes,8,No,No,0,,,5,"Yes, I experienced","Yes, I experienced",3,27,Female,United States of America,Indiana,Black or African American,United States of America,Illinois,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Attention Deficit Hyperactivity Disorder","I told my direct supervisor about my depression/anxiety to request to work remotely for the remainder of the day. He was very receptive and supportive. , I was having an anxiety attack at my desk. My coworker asked if I needed anything and was very compassionate. , I was discussing my depression/anxiety and my employer still put my in situations that triggered anxiety attacks , My coworkers and I discussed mental health with each other and tried to be supportive, A previous coworker had debilitating anxiety. We split tasks at work to minimize the effect on each of our mental health disorders"
124,0,More than 1000,1.0,1.0,Yes,No,No,I don't know,Yes,Somewhat difficult,Physical health,Yes,0.0,Yes,0.0,1.0,6.0,6.0,,,,,,,,,1,1.0,Some did,I was aware of some,Some did,Some did,"Yes, always",Physical health,Some of my previous supervisors,0.0,At some of my previous employers,1.0,0.0,4.0,4.0,Don't Know,,Yes,1,Yes,Rarely,Sometimes,No,5,Yes,Maybe,0,,,8,"Yes, I observed","Yes, I observed",3,37,Female,United Kingdom,,,United Kingdom,,,,,"Just mentioning that we needed to give a little space to someone who needed our patience at this time, I have seasonal depression so I can travel more and less at different times of year, Employer talked about the reasons a co-worker was off sick in a loud and insensitive manner with other employees, Encourage people to look after themselves before an issue, it's important to talk about this more and OSMI is really helping, thanks :)"
125,1,,,,,,,,,,,,,,,,,,1.0,"Yes, I know several",Not applicable to me,,"Sometimes, if it comes up",Positively,Yes,1-25%,1,1.0,I don't know,N/A (none offered),None did,None did,I don't know,Same level of comfort for each,"Yes, all of my previous supervisors",0.0,"Yes, at all of my previous employers",0.0,0.0,5.0,5.0,Possibly,,Yes,1,I don't know,Sometimes,Often,No,10,Maybe,Maybe,0,,,10,No,Maybe/Not sure,3,40,Male,Serbia,,,Serbia,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Obsessive-Compulsive Disorder",,
126,0,26-100,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,Physical health,No,1.0,Yes,1.0,1.0,9.0,8.0,,,,,,,,,1,1.0,"No, none did",N/A (none offered),None did,None did,No,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,0.0,0.0,Yes,Yes,Possibly,0,I don't know,Sometimes,Often,Maybe,2,Maybe,No,0,,,8,Maybe/Not sure,"Yes, I experienced",3,30,Female,United Kingdom,,,United Kingdom,,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc)",
127,0,More than 1000,1.0,1.0,Yes,No,I don't know,I don't know,Yes,Somewhat difficult,Physical health,Yes,0.0,Maybe,1.0,1.0,7.0,5.0,,,,,,,,,1,1.0,"Yes, they all did",I was aware of some,Some did,Some did,"Yes, always",Physical health,Some of my previous supervisors,0.0,At some of my previous employers,0.0,0.0,8.0,6.0,Possibly,,No,0,Yes,Rarely,Often,Maybe,8,Maybe,No,0,,,7,Maybe/Not sure,"Yes, I observed",3,39,Male,United States of America,Nebraska,White,United States of America,Nebraska,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,
128,0,6-25,1.0,1.0,Not eligible for coverage / NA,,No,No,I don't know,I don't know,Same level of comfort for each,Maybe,0.0,Maybe,0.0,0.0,6.0,6.0,,,,,,,,,1,1.0,Some did,I was aware of some,None did,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,1.0,At some of my previous employers,1.0,1.0,8.0,7.0,Yes,Yes,Yes,1,Yes,Rarely,Often,Maybe,7,No,No,0,,,6,"Yes, I experienced","Yes, I experienced",3,30,Female,United States of America,Ohio,White,United States of America,Ohio,,,"Mood Disorder (Depression, Bipolar Disorder, etc)","My relationship with the previous employer with whom I discussed mental health was good enough that it was taken in stride and we were able to talk pretty openly about it., We were open with each other about mental and physical health., We were open with one another, including talking about medications and side effects., The manager was abusive in general and attempts to explain mental health issues resulted in essentially plugged ears and ""la la la, I'm not listening"", Be open about mental health services and provide similar perks to the physical health perks many are providing and talking about"
129,0,6-25,1.0,1.0,I don't know,No,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,0.0,Yes,1.0,1.0,7.0,7.0,,,,,,,,,1,1.0,I don't know,N/A (was not aware),I don't know,None did,I don't know,Same level of comfort for each,"Yes, all of my previous supervisors",0.0,"Yes, at all of my previous employers",0.0,0.0,8.0,8.0,No,,No,0,No,Not applicable to me,Not applicable to me,No,7,Maybe,Maybe,0,,,8,Maybe/Not sure,"Yes, I observed",4,31,male,Netherlands,,,Netherlands,,,,,"It was about a problem of temporary raising stress from the job.
They understand it and feel the same situation so we could handle it together, It was about a problem of temporary raising stress from the job.
They understand it and feel the same situation so we could handle it together, Be clear that we are humans and that feelings (good and bad) are part of our lives and jobs"
130,1,,,,,,,,,,,,,,,,,,1.0,I know some,"No, because it doesn't matter",Negatively,"No, because it doesn't matter",Negatively,Yes,26-50%,0,,,,,,,,,,,,,,,Yes,Yes,No,1,Yes,Sometimes,Sometimes,Maybe,3,Maybe,No,0,,,5,No,No,1,36,Male,Italy,,,Italy,,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Keep in mind that too much work is no good, do meditation and breath sessions during the working hours"
131,0,6-25,1.0,1.0,Yes,Yes,No,No,I don't know,I don't know,Physical health,No,0.0,Maybe,0.0,0.0,8.0,8.0,,,,,,,,,1,1.0,Some did,N/A (was not aware),None did,Some did,No,Same level of comfort for each,Some of my previous supervisors,1.0,At some of my previous employers,1.0,0.0,9.0,7.0,No,,Yes,1,Yes,Sometimes,Often,Maybe,10,No,Yes,0,,,9,"Yes, I experienced",No,3,46,Male,United Kingdom,,,United Kingdom,,,,,"Talked about depression and the need for time off, Discussing issues, generally supportive"
132,0,500-1000,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Physical health,Maybe,0.0,Maybe,1.0,0.0,9.0,5.0,,,,,,,,,1,0.0,Some did,I was aware of some,None did,Some did,I don't know,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,5.0,5.0,Yes,Yes,Yes,1,Yes,Sometimes,Sometimes,Yes,9,No,No,0,,,4,Maybe/Not sure,No,3,45,Female,United States of America,Illinois,White,United States of America,Illinois,,,"Mood Disorder (Depression, Bipolar Disorder, etc)","They were understanding., I think big corporations do a better job than small companies or startups"
133,1,,,,,,,,,,,,,,,,,,0.0,I know some,"No, because it would impact me negatively",Negatively,"Sometimes, if it comes up",I'm not sure,Yes,26-50%,0,,,,,,,,,,,,,,,Possibly,,No,0,I don't know,Rarely,Rarely,Maybe,7,Maybe,Maybe,0,,,4,"Yes, I experienced","Yes, I experienced",3,25,male,Bangladesh,,,Bangladesh,,,Addictive Disorder,,"In mental health issue, people think it negatively. they think this wont be cured and the person who affected with it he/she wont be able to have regular  work again., They can create an amusement center for the employees. they should provide a proper time of leisure for the employment. The employee should give enough time to their family. And the most important thing is that, every employee have to be given safe environment of job security and freedom as much as it can be able., Married or Not
Salary Range
Social Status
Family Type or Family member No.
Job security "
134,0,More than 1000,0.0,1.0,Not eligible for coverage / NA,,No,No,I don't know,I don't know,Same level of comfort for each,Maybe,0.0,Maybe,0.0,0.0,2.0,0.0,,,,,,,,,1,1.0,Some did,I was aware of some,None did,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,1.0,At some of my previous employers,1.0,1.0,0.0,0.0,Yes,Yes,Yes,1,Yes,Sometimes,Often,Maybe,5,No,No,0,,,0,"Yes, I experienced",No,1,38,f,United States of America,Illinois,More than one of the above,United States of America,Illinois,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Attention Deficit Hyperactivity Disorder, Post-traumatic Stress Disorder, Multiple Sclerosis & Mental Health","I was either feared or not believed (that I have PTSD). It's probable that I was fired because of it., The conversation involved a male coworker triggering my PTSD and essentially blocking my path out of a conference room (there were no other exits). Upon complaining about this, no action was taken. A few months later, I was dismissed due to ""budget""., We discussed a coworker that we were worried would commit suicide. There should be resources for coworkers who think that someone might commit suicide. Also, various coworkers had degrees of mental illness, so we talked about it away from ""bosses""., People being afraid of my PTSD. People not believing that I have MS or PTSD., Stop putting white men in charge. Provide positive support for individuals who self-identify."
135,0,26-100,1.0,1.0,Yes,Yes,Yes,I don't know,I don't know,Very easy,Same level of comfort for each,Yes,0.0,No,0.0,0.0,8.0,8.0,,,,,,,,,1,1.0,"No, none did",N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,4.0,0.0,No,,No,0,No,Not applicable to me,Not applicable to me,,5,No,No,0,,,5,Maybe/Not sure,Maybe/Not sure,5,41,m,United States of America,Illinois,White,United States of America,Illinois,,,,
136,0,100-500,1.0,1.0,Yes,Yes,I don't know,Yes,Yes,Somewhat easy,Physical health,Maybe,1.0,Yes,1.0,1.0,8.0,5.0,,,,,,,,,1,0.0,I don't know,N/A (was not aware),I don't know,Some did,I don't know,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,7.0,5.0,Yes,Yes,Yes,1,Yes,Rarely,Sometimes,No,6,No,No,0,,,5,No,"Yes, I experienced",3,37,Male,United States of America,New Jersey,White,United States of America,New Jersey,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Substance Use Disorder","I spoke with the head of HR regarding a mental health issue and the coverages the company provided to help me cover the costs.  She was very supportive and continues to check in on me from time to time., Will co-workers I trust I will discuss some of the more ""simple"" aspects of my mental health.   I don't mind talking about anxiety or mentioning that I speak to a therapist, but I generally will not go past that., Someone who reports to me has described depression and anxiety with me.  It has, rarely, but has affected his ability to come to work.  I shared with him my experiences in the hope that he would feel that I can empathize with him and that its a safe place to discuss it if he needs help., Make sure that mental health options are clearly outlined in employee benefits literature.  Provide employees a safe place to talk if need be like an EAP.  Provide quiet rooms and personal spaces to find time to relax."
137,0,26-100,1.0,1.0,I don't know,No,No,No,Yes,Very easy,Physical health,No,0.0,No,0.0,1.0,7.0,7.0,,,,,,,,,1,1.0,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,4.0,4.0,No,,No,0,No,Not applicable to me,Not applicable to me,No,9,No,No,0,,,8,No,"Yes, I observed",4,33,female,United States of America,Illinois,I prefer not to answer,United States of America,Illinois,,,,"okay, I don't have a mental health issue so I am unsure. , no"
138,0,26-100,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,Physical health,Yes,1.0,Maybe,1.0,1.0,8.0,9.0,,,,,,,,,1,1.0,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",Physical health,"No, none of my previous supervisors",1.0,At some of my previous employers,1.0,1.0,5.0,1.0,Yes,Yes,Yes,1,Yes,Sometimes,Often,No,10,Maybe,No,1,1.0,4.0,7,"Yes, I experienced","Yes, I experienced",3,28,Nonbinary,United States of America,Illinois,White,United States of America,Illinois,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Eating Disorder (Anorexia, Bulimia, etc)","I needed to take time off of work due to a traumatic event that made my mental health much worse. They were very supportive., I have conversations in passing, referring to anxiety  most often., We shared our experiences with depression and anxiety via Slack DMs. I've done this with several people., I was disclosing why I had to leave, and that the job severely impacted my mental health. It went poorly., We shared our mutual experiences with mental health"
139,1,,,,,,,,,,,,,,,,,,1.0,"Yes, I know several","No, because it would impact me negatively",,"No, because it would impact me negatively",Not applicable to me,Yes,51-75%,1,1.0,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,Physical health,Some of my previous supervisors,0.0,At some of my previous employers,1.0,1.0,4.0,0.0,Yes,Yes,Yes,1,Yes,Sometimes,Often,,5,No,No,0,,,2,"Yes, I observed",Maybe/Not sure,2,34,female,United States of America,Illinois,White,United States of America,Illinois,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc)","Victim blaming. Removing responsibility from the person., Manager training to understand mental illness and how to respond in at least a non-toxic way. Understanding for work accomdations (i.e. WFH)., Men causing or exacerbating mental health issues URM developers have needs to be talked about."
140,0,26-100,1.0,0.0,Yes,Yes,No,No,I don't know,I don't know,Physical health,Yes,1.0,Yes,1.0,1.0,3.0,3.0,,,,,,,,,1,0.0,"Yes, they all did",I was aware of some,Some did,None did,No,Physical health,Some of my previous supervisors,1.0,At some of my previous employers,1.0,1.0,2.0,1.0,Yes,Yes,Yes,1,Yes,Sometimes,Often,Yes,10,Yes,Yes,1,1.0,6.0,7,"Yes, I experienced",No,2,29,f,Canada,,,Canada,,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc)","supportive, supportive, empathetic, stressful, they were exhausted, happy they were not alone, skeptical, friendly to my face but I don't think they believed me behind my back, mixed, some skeptical some supportive. Many had a ""suck it up"" attitutde, stressed, exhausted, felt like I had to take on their burden, Not fully informed of accommodations and benefits I was entitled to, pressure to come back to work before ready"
141,0,500-1000,0.0,1.0,Yes,Yes,No,No,I don't know,Neither easy nor difficult,Same level of comfort for each,Yes,0.0,Yes,0.0,1.0,5.0,5.0,,,,,,,,,1,0.0,Some did,"No, I only became aware later",None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,5.0,5.0,Yes,Yes,Yes,1,Yes,Never,Often,Yes,5,No,No,0,,,4,"Yes, I observed",No,3,28,female,United States of America,Massachusetts,White,United States of America,Massachusetts,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Eating Disorder (Anorexia, Bulimia, etc), Obsessive-Compulsive Disorder","they talked about going to therapy, Noticed those people dont seem to move up, realize when treated a person will provide good work and when it isnt treated the company will spend more money on sick time and ok work"
142,1,,,,,,,,,,,,,,,,,,1.0,"Yes, I know several","Yes, always",Positively,"Yes, always",Positively,Yes,1-25%,1,1.0,"No, none did",N/A (was not aware),I don't know,None did,I don't know,Physical health,Some of my previous supervisors,0.0,At some of my previous employers,0.0,0.0,5.0,5.0,Yes,Yes,Yes,1,Yes,Rarely,Often,,10,Maybe,Yes,1,0.0,,10,Maybe/Not sure,"Yes, I experienced",3,41,Male,Australia,,,Australia,,,,"Mood Disorder (Depression, Bipolar Disorder, etc)",We could talk about it. We could stop having businesses that have crunch times. We could make it easier for folks to know what mental health options are available. We could stop stigmatising mental health as a society.
143,0,More than 1000,1.0,1.0,Yes,No,Yes,Yes,I don't know,I don't know,Physical health,Maybe,0.0,Yes,1.0,0.0,3.0,5.0,,,,,,,,,1,1.0,Some did,I was aware of some,Some did,Some did,Sometimes,Physical health,Some of my previous supervisors,0.0,"No, at none of my previous employers",1.0,0.0,6.0,6.0,Yes,Yes,Possibly,1,Yes,Sometimes,Sometimes,No,8,Maybe,No,0,,,7,Maybe/Not sure,"Yes, I experienced",2,38,Male,United States of America,Illinois,White,United States of America,Illinois,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Spoke about anxiety. Shared stories with each other. There was acceptance all around. , Very limited. Most information shared was after we stopped working together. Information shared while we worked together was about friends and family in the abstract, and not specific to any diagnosis or issues that were current at the time. , Meaningful support, at a minimum, in the form of acknowledging mental health and encouraging a non-stigmatized attitude toward mental health issues."
144,1,,,,,,,,,,,,,,,,,,1.0,"Yes, I know several","Sometimes, if it comes up",Positively,"Yes, always",Positively,Yes,1-25%,1,1.0,I don't know,I was aware of some,Some did,Some did,I don't know,Physical health,Some of my previous supervisors,0.0,At some of my previous employers,1.0,1.0,8.0,8.0,No,,Possibly,1,Yes,Not applicable to me,Not applicable to me,No,8,Maybe,Maybe,0,,,8,No,"Yes, I observed",4,37,"Male (or female, or both)",Netherlands,,,Netherlands,,,,,
145,0,More than 1000,0.0,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Physical health,No,0.0,Maybe,1.0,1.0,6.0,6.0,,,,,,,,,0,,,,,,,,,,,,,,,No,,Possibly,1,No,Not applicable to me,Not applicable to me,Maybe,7,Maybe,No,0,,,5,"Yes, I observed","Yes, I observed",3,42,Male,United States of America,California,White,United States of America,California,,,,
146,0,100-500,1.0,0.0,Yes,No,Yes,No,I don't know,Somewhat easy,Same level of comfort for each,Maybe,0.0,Maybe,1.0,0.0,3.0,4.0,,,,,,,,,1,1.0,"No, none did",I was aware of some,None did,None did,I don't know,Physical health,Some of my previous supervisors,0.0,At some of my previous employers,1.0,1.0,2.0,2.0,Yes,Yes,Yes,0,Yes,Never,Often,No,3,Maybe,No,0,,,6,Maybe/Not sure,"Yes, I observed",3,28,Female,United States of America,California,White,United States of America,California,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Eating Disorder (Anorexia, Bulimia, etc)","One of my coworkers studied in a Buddhist monastery for a period of time. I meditate and am generally interested in awareness and the value of mental health. We've discussed our different views and practices for meditation and mindfulness, A very good friend that also struggled with depression ,eating disorders, etc, very helpful and open, same as above"
147,0,More than 1000,1.0,1.0,Yes,Yes,Yes,Yes,Yes,I don't know,Physical health,Yes,1.0,Yes,1.0,0.0,8.0,8.0,,,,,,,,,1,0.0,Some did,"Yes, I was aware of all of them",None did,None did,I don't know,Physical health,Some of my previous supervisors,1.0,At some of my previous employers,0.0,0.0,8.0,3.0,Yes,Yes,Yes,1,Yes,Sometimes,Often,Yes,9,Maybe,No,0,,,6,"Yes, I observed","Yes, I observed",2,30,male,United States of America,California,White,United States of America,California,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Attention Deficit Hyperactivity Disorder","I've shared my diagnosis, what challenges I face, the coping mechanisms I have, and new coping mechanisms I'm working on., I've shared my diagnosis, what challenges I face, the coping mechanisms I have, and new coping mechanisms I'm working on., I've shared my diagnosis, what challenges I face, the coping mechanisms I have, and new coping mechanisms I'm working on., Lack of empathy and understanding. Minimizing and questioning the validity., Normalize it. Encourage healthy work/life balance. Discourage hero culture."
