,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,Would you feel comfortable discussing a mental health issue with your coworkers?,Have you ever discussed your mental health with coworkers?,Have you ever had a coworker discuss their or another coworker's mental health with you?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",Do you have medical coverage (private insurance or state-provided) that includes treatment of mental health disorders?,Do you know local or online resources to seek help for a mental health issue?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health disorder to a client or business contact, how has this affected you or the relationship?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health disorder to a coworker or employee, how has this impacted you or the relationship?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Was your employer primarily a tech company/organization?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Did you ever discuss your mental health with your previous employer?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,"Overall, how much importance did your previous employer place on physical health?","Overall, how much importance did your previous employer place on mental health?",Do you currently have a mental health disorder?,Have you ever been diagnosed with a mental health disorder?,Have you had a mental health disorder in the past?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,"If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?",Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Are you openly identified at work as a person with a mental health issue?,Has being identified as a person with a mental health issue affected your career?,How has it affected your career?,"If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?",Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced a supportive or well handled response to a mental health issue in your current or previous workplace?,"Overall, how well do you think the tech industry supports employees with mental health issues?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What is your race?,What country do you work in?,What US state or territory do you work in?,What disorder(s) have you been diagnosed with?,"If possibly, what disorder(s) do you believe you have?","If so, what disorder(s) were you diagnosed with?",comments
175,0,More than 1000,0.0,1.0,I don't know,Yes,No,I don't know,I don't know,Difficult,Physical health,No,0.0,Maybe,1.0,0.0,8.0,1.0,,,,,,,,,0,,,,,,,,,,,,,,,Yes,Yes,Yes,1,Yes,Rarely,Often,,8,No,No,0.0,,,5.0,Maybe/Not sure,No,1.0,25.0,Female,United States of America,New Jersey,,United States of America,New Jersey,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Obsessive-Compulsive Disorder",Middle Eastern
176,0,26-100,1.0,1.0,I don't know,No,No,No,I don't know,Somewhat easy,Same level of comfort for each,Yes,0.0,Yes,1.0,0.0,5.0,5.0,,,,,,,,,1,1.0,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",Same level of comfort for each,Some of my previous supervisors,1.0,At some of my previous employers,1.0,0.0,5.0,5.0,Possibly,,Yes,1,I don't know,Rarely,Sometimes,No,9,No,No,0.0,,,6.0,No,No,3.0,30.0,male,Bulgaria,,,Bulgaria,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,"I've talked about having panic attacks., If senior management / leadership shares their own struggles with mental health issues more, it might make more people be more open about it and reduce stigma"
177,1,,,,,,,,,,,,,,,,,,1.0,"Yes, I know several","No, because it doesn't matter",I'm not sure,"Sometimes, if it comes up",I'm not sure,Yes,1-25%,1,1.0,Some did,I was aware of some,Some did,Some did,I don't know,Same level of comfort for each,"Yes, all of my previous supervisors",1.0,At some of my previous employers,1.0,1.0,6.0,7.0,No,,Possibly,1,Yes,Rarely,Sometimes,No,7,Maybe,Maybe,0.0,,,6.0,Maybe/Not sure,"Yes, I experienced",4.0,45.0,m,New Zealand,,,New Zealand,,,,,"Generally I was able to identify when my work was suffering and I could take ""Mental Health days"", and I was able to negotiate my hours down to manageable levels if needed. Sometimes doing so even at hiring interview time."
178,0,100-500,1.0,1.0,I don't know,No,No,No,Yes,Neither easy nor difficult,Physical health,Yes,0.0,Yes,0.0,0.0,7.0,5.0,,,,,,,,,1,1.0,"No, none did",N/A (none offered),None did,None did,"Yes, always",Physical health,Some of my previous supervisors,0.0,At some of my previous employers,0.0,0.0,6.0,4.0,No,,No,0,No,Not applicable to me,Not applicable to me,,6,Maybe,No,0.0,,,4.0,No,No,3.0,31.0,Male,Italy,,,Italy,,,,,
179,0,100-500,1.0,1.0,No,No,No,No,Yes,Very easy,Same level of comfort for each,No,0.0,Maybe,1.0,0.0,7.0,0.0,,,,,,,,,1,1.0,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,4.0,0.0,No,,No,0,No,Not applicable to me,Not applicable to me,No,1,No,No,0.0,,,7.0,No,No,1.0,36.0,Male,Romania,,,Romania,,,,,
180,0,6-25,1.0,1.0,I don't know,No,No,No,Yes,Neither easy nor difficult,Physical health,Yes,1.0,Maybe,1.0,1.0,7.0,7.0,,,,,,,,,1,1.0,Some did,I was aware of some,Some did,None did,"Yes, always",Physical health,Some of my previous supervisors,0.0,At some of my previous employers,0.0,0.0,6.0,6.0,No,,No,0,Yes,Not applicable to me,Not applicable to me,No,5,Maybe,Maybe,0.0,,,5.0,No,No,3.0,37.0,male,Argentina,,,Argentina,,,,,
181,0,26-100,1.0,1.0,Yes,Yes,No,I don't know,Yes,Somewhat easy,Same level of comfort for each,Yes,1.0,Maybe,0.0,0.0,7.0,7.0,,,,,,,,,1,1.0,I don't know,N/A (was not aware),None did,None did,"Yes, always",Physical health,Some of my previous supervisors,1.0,At some of my previous employers,0.0,0.0,7.0,7.0,No,,No,0,No,Not applicable to me,Not applicable to me,No,8,Maybe,Maybe,0.0,,,8.0,No,Maybe/Not sure,3.0,37.0,Male,United States of America,Illinois,I prefer not to answer,United States of America,Illinois,,,,"After a particularly messy non-work situation, my direct supervisor encouraged me to see a therapist in the interest of avoiding depression/anxiety/stress related issues.  , Years ago, after a messy breakup I was on a rather short fuse for a while.  A few months afterward my CEO told me I should have brought it up to them so they could have helped reduce my stress levels at work.  By that point it had passed so no further action was taken., Forceably turn off people's computers after 40 hours of work in a week.  The long-hours slog isn't something to be proud of, it's something companies should be ashamed of., Having OSMI around and spreading its message makes it easier to think about what I'd do if I did develop a mental illness, so thank you."
182,1,,,,,,,,,,,,,,,,,,1.0,"No, I don't know any","No, because it doesn't matter",,"No, because it would impact me negatively",No change,Yes,26-50%,1,0.0,"No, none did",N/A (none offered),None did,Some did,"Yes, always",Same level of comfort for each,"No, none of my previous supervisors",1.0,At some of my previous employers,1.0,1.0,5.0,2.0,No,,Possibly,1,No,Often,Often,No,0,No,No,0.0,,,4.0,No,Maybe/Not sure,2.0,28.0,male,Russia,,,Russia,,,,,"I told about being bullied at school and negative consequences of it, including hospitalization. No valueable advices were given, not even that he was a psychologist. Simply ignoring the problem., I just told him that I have a tough condition several times a week. And at these days I cannot concentrate at work. He responded that it is a bad luck and I have to change my life., She told us about her father being killed by former business partners connected with criminals. And that her life has a handicap because of this., Relaxation rooms, closed workspaces, accurate techspecs (if any at all), time management, fair pay."
183,0,26-100,1.0,1.0,Not eligible for coverage / NA,Yes,No,No,Yes,Somewhat easy,Physical health,Maybe,1.0,Maybe,1.0,1.0,0.0,2.0,,,,,,,,,1,1.0,I don't know,"Yes, I was aware of all of them",None did,None did,"Yes, always",Physical health,Some of my previous supervisors,1.0,At some of my previous employers,1.0,1.0,0.0,2.0,No,,Possibly,1,No,Rarely,Rarely,No,10,No,No,0.0,,,5.0,No,No,1.0,37.0,male,Spain,,,Spain,,,,,"we talk only about ansiety and stress, we talk only about ansiety and stress, just about ansiety and stress, ansiety and stress, ansiety and stress, ansiety and stress, Better payment and less extra hours... it´s just about anxiety and stress, i´m form spain and maybe the test has not sense... in general, employers doesn´t care about employees here... "
184,0,26-100,1.0,1.0,No,,No,No,I don't know,Very easy,Physical health,No,0.0,No,0.0,1.0,3.0,3.0,,,,,,,,,1,0.0,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,0.0,"No, at none of my previous employers",0.0,0.0,8.0,0.0,Don't Know,,No,0,No,Not applicable to me,Not applicable to me,,0,No,No,0.0,,,0.0,No,No,1.0,37.0,male,Bulgaria,,,Bulgaria,,,,,"stress related issues, aggravation, rage etc. , depends on the particular illness I suppose. , The survey spells ""first world problems"" to me... Probably because I am not from USA :) You should come to Bulgaria, than you will find that your ""survey"" is more useless than a glossy paper magazine in a toilet... if you catch my drift :D PS as an IT member :) I would like to point out that the last questions requires more than 1 answer since most of us work in several countries.... "
185,1,,,,,,,,,,,,,,,,,,1.0,I know some,"No, because it would impact me negatively",Negatively,"No, because it would impact me negatively",Negatively,Yes,26-50%,1,0.0,Some did,I was aware of some,Some did,Some did,Sometimes,Physical health,Some of my previous supervisors,1.0,At some of my previous employers,0.0,0.0,1.0,1.0,Yes,Yes,Yes,1,No,Sometimes,Often,Yes,3,Maybe,No,1.0,1.0,2.0,3.0,"Yes, I experienced",No,1.0,64.0,m,Australia,,,Australia,,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Stress Response Syndromes","I made my manger aware as I felt it was impacting my performance, seemed ok until slary review 9 months later where I was penalised for not performing, no pay rise and questioned about my ability after working there 15 years, as above, I think it is across all industry"
186,1,,,,,,,,,,,,,,,,,,1.0,I know some,Not applicable to me,,Not applicable to me,Not applicable to me,Unsure,,0,,,,,,,,,,,,,,,No,,No,1,No,Not applicable to me,Not applicable to me,Yes,3,Maybe,Maybe,0.0,,,4.0,Maybe/Not sure,Maybe/Not sure,2.0,34.0,female,Germany,,,Eritrea,,,,,
187,1,,,,,,,,,,,,,,,,,,0.0,I know some,"No, because it would impact me negatively",Negatively,"No, because it would impact me negatively",I'm not sure,Yes,26-50%,1,1.0,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,I don't know,0.0,At some of my previous employers,0.0,0.0,2.0,1.0,Possibly,,Possibly,1,Yes,Often,Often,Maybe,6,Yes,No,0.0,,,4.0,Maybe/Not sure,Maybe/Not sure,3.0,34.0,Male,Greece,,,Greece,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,"The employees need to feel that they can communicate openly, being trusted and understood"
188,1,,,,,,,,,,,,,,,,,,1.0,"No, I don't know any",Not applicable to me,,Not applicable to me,Not applicable to me,Yes,76-100%,0,,,,,,,,,,,,,,,No,,No,0,Yes,Not applicable to me,Not applicable to me,,8,No,Maybe,0.0,,,7.0,No,"Yes, I observed",3.0,36.0,Male,Spain,,,Spain,,,,,
189,1,,,,,,,,,,,,,,,,,,0.0,"Yes, I know several","No, because it would impact me negatively",Negatively,"No, because it would impact me negatively",Not applicable to me,Unsure,,1,1.0,Some did,"Yes, I was aware of all of them",None did,None did,No,Same level of comfort for each,Some of my previous supervisors,0.0,"No, at none of my previous employers",0.0,0.0,1.0,1.0,No,,No,0,No,Not applicable to me,Not applicable to me,,4,No,No,0.0,,,3.0,No,No,2.0,26.0,m,Brazil,,,United States of America,Massachusetts,,,,
190,0,100-500,1.0,1.0,I don't know,No,No,No,I don't know,Somewhat difficult,Physical health,No,0.0,No,0.0,0.0,6.0,5.0,,,,,,,,,1,1.0,I don't know,N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,0.0,"No, at none of my previous employers",0.0,0.0,5.0,5.0,Don't Know,,No,0,No,Not applicable to me,Not applicable to me,,6,Yes,Maybe,0.0,,,3.0,No,No,2.0,33.0,male,Hungary,,,Austria,,,,,"The industry should start to pay more attention to mental health problems - which is generated by the much work, overtime, and stress. One solution would be, imho, disbanding the 9am-5pm working hours and let people work when they like, or actually pay people by results instead of worked hours. Another helping factor could be to allow remote working."
191,0,500-1000,1.0,1.0,Yes,No,No,No,I don't know,Very easy,Physical health,No,0.0,No,0.0,0.0,7.0,4.0,,,,,,,,,1,1.0,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,1.0,7.0,4.0,No,,No,0,No,Not applicable to me,Never,No,9,Yes,No,1.0,0.0,,2.0,No,"Yes, I observed",5.0,47.0,f,United States of America,California,White,United States of America,California,,,,"An employee lost her son to suicide, and she was open with me about her own struggles through her grief, and attempt to get support through company resources., ""issues"" perceived as transient while ""disorder"" perm"
192,0,100-500,1.0,0.0,I don't know,No,Yes,Yes,I don't know,Somewhat easy,Physical health,Maybe,0.0,Maybe,1.0,0.0,7.0,9.0,,,,,,,,,0,,,,,,,,,,,,,,,Possibly,,Yes,1,I don't know,Rarely,Sometimes,No,5,No,No,0.0,,,6.0,No,"Yes, I observed",4.0,24.0,Female,United States of America,Illinois,White,United States of America,Illinois,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Post-traumatic Stress Disorder, Stress Response Syndromes",,Talking about stress and anxiety
193,0,100-500,1.0,1.0,Yes,Yes,No,I don't know,I don't know,I don't know,Physical health,Maybe,1.0,Maybe,1.0,1.0,7.0,3.0,,,,,,,,,1,0.0,I don't know,N/A (was not aware),Some did,Some did,I don't know,Physical health,I don't know,0.0,At some of my previous employers,1.0,1.0,5.0,4.0,Yes,Yes,Yes,1,Yes,Often,Often,No,6,No,No,0.0,,,8.0,"Yes, I observed","Yes, I observed",2.0,26.0,Male,United States of America,Minnesota,White,United States of America,Minnesota,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc)",Discussed with peers and mentors/indirect managers
194,0,More than 1000,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,Physical health,Maybe,0.0,Maybe,1.0,1.0,5.0,5.0,,,,,,,,,0,,,,,,,,,,,,,,,No,,Yes,1,I don't know,Never,Never,No,5,Maybe,Maybe,0.0,,,5.0,"Yes, I observed",No,2.0,37.0,Male,Australia,,,Australia,,,,,
195,0,More than 1000,1.0,1.0,Yes,Yes,Yes,No,No,Neither easy nor difficult,Physical health,No,1.0,Yes,1.0,1.0,7.0,4.0,,,,,,,,,1,1.0,"Yes, they all did",I was aware of some,None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",0.0,At some of my previous employers,0.0,0.0,4.0,2.0,Yes,Yes,Possibly,1,I don't know,Sometimes,Often,No,2,No,No,1.0,0.0,,7.0,"Yes, I observed","Yes, I experienced",2.0,29.0,Male,United States of America,Massachusetts,White,United States of America,Massachusetts,,,"Mood Disorder (Depression, Bipolar Disorder, etc)","Previous manager proactively brought it up after major upsetting news, Many conversations, I don't remember but most people very open to it, Co-workers talk about their therapists, Employer does not handle accommodations related to anxiety /workplace design/PTSD well., People at all levels need to realize it is normal and need to share and be understanding when it affects work."
196,0,26-100,1.0,1.0,I don't know,No,No,No,I don't know,Somewhat difficult,Physical health,Yes,1.0,No,0.0,0.0,8.0,5.0,,,,,,,,,1,0.0,"Yes, they all did",I was aware of some,None did,Some did,I don't know,Physical health,"No, none of my previous supervisors",1.0,"No, at none of my previous employers",0.0,0.0,5.0,2.0,Yes,Yes,Yes,1,Yes,Rarely,Often,,10,No,No,0.0,,,1.0,"Yes, I experienced","Yes, I experienced",1.0,33.0,Female,United States of America,Tennessee,White,United States of America,Tennessee,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Eating Disorder (Anorexia, Bulimia, etc), Attention Deficit Hyperactivity Disorder, Personality Disorder (Borderline, Antisocial, Paranoid, etc), Post-traumatic Stress Disorder","I revealed I had ADHD when asking for accommodations, My depression and ADHD led me to be put on a performance improvement plan"
197,0,More than 1000,1.0,1.0,Yes,No,Yes,Yes,I don't know,Somewhat easy,Same level of comfort for each,No,0.0,Yes,1.0,1.0,8.0,8.0,,,,,,,,,1,1.0,Some did,"No, I only became aware later",Some did,Some did,Sometimes,Physical health,Some of my previous supervisors,0.0,At some of my previous employers,1.0,1.0,6.0,3.0,Yes,Yes,Yes,1,Yes,Rarely,Often,No,10,Yes,No,0.0,,,7.0,"Yes, I observed",Maybe/Not sure,1.0,44.0,male,United States of America,Massachusetts,White,United States of America,Massachusetts,,,"Mood Disorder (Depression, Bipolar Disorder, etc)","I don't remember how it came up but I mentioned suffering from depression and mild ADHD (both under control) and they were understanding and not judging., approximately
me: ""you're being irrationally anxious about this, you know""
them: ""yes, I realize""
me: ""this will turn out all right I am pretty sure"", It's a bit confounding, but the people I was talking to (including a supervisor for a bit) were also (before they were coworkers and after) close friends, but I remember discussing my depression, general stress level, and my ability to even, similar and same people to above, Not 100% sure but I think it was a case of untreated depressing and a particularly unempathetic boss., I have a cushy job at the moment, but I haven't alway.  Everyone should have insurance and accommodations for at least a therapist appointment every week."
198,0,More than 1000,1.0,1.0,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Same level of comfort for each,Yes,0.0,Maybe,0.0,0.0,8.0,6.0,,,,,,,,,1,0.0,Some did,I was aware of some,Some did,Some did,I don't know,Physical health,Some of my previous supervisors,0.0,"No, at none of my previous employers",0.0,0.0,2.0,2.0,No,,Yes,1,Yes,Rarely,Sometimes,No,6,Maybe,Maybe,0.0,,,8.0,No,"Yes, I observed",2.0,34.0,Female,United States of America,Minnesota,White,United States of America,Minnesota,,,,"I think most workplaces in tech just struggle with diversity in general. And placing more value in different types of people, i.e. race/gender/life experience/mental health/family balance, are all related to how the industry as a whole could improve."
199,0,More than 1000,1.0,1.0,Yes,No,Yes,No,I don't know,I don't know,Physical health,No,0.0,No,1.0,1.0,6.0,4.0,,,,,,,,,1,1.0,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,7.0,0.0,Don't Know,,No,0,Yes,Not applicable to me,Not applicable to me,No,3,No,No,0.0,,,5.0,Maybe/Not sure,Maybe/Not sure,4.0,35.0,Male,United States of America,Alabama,White,United States of America,Alabama,,,,"""I've been down a bit lately."", ""I've been struggling a bit lately."""
200,0,100-500,1.0,1.0,Yes,Yes,No,I don't know,I don't know,Very easy,Same level of comfort for each,Yes,1.0,Yes,0.0,1.0,7.0,7.0,,,,,,,,,1,1.0,Some did,I was aware of some,Some did,Some did,I don't know,Physical health,Some of my previous supervisors,1.0,At some of my previous employers,1.0,1.0,10.0,10.0,Yes,Yes,Yes,1,I don't know,Sometimes,Often,Maybe,5,Yes,No,0.0,,,5.0,Maybe/Not sure,Maybe/Not sure,3.0,32.0,uhhhhhhhhh fem genderqueer?,United States of America,New York,Asian,United States of America,Massachusetts,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Post-traumatic Stress Disorder","I'm clinically depressed and I see a therapist on the regular. They're cool with it. Sometimes when I get overwhelmed at work and need to take a break or a nap, they are also cool with it., A former coworker and I compared our anxiety, depression, relationship counseling, medication, etc. It was pretty cool., I told one of my bosses that I'm clinically depressed and I see a therapist on the regular, and that I'm trying out prescriptions to see what works. They were OK with it but didn't like what the meds did to me (akathisia, giddiness) and said I was being unprofessional even though I had no idea what the effects would be either, and no control over how my body responded except whether or not to continue medicating., Oh this is where I was supposed to put that conversation about anxiety, depression, and comparison of counseling and medications. Oops., The... same..... as above......., More education, less stigma, more flexible work conditions would be nice. Less open floor plans because that is just one long PTSD trigger. x_x, I forgot I had been diagnosed with PTSD. v_v;;;"
201,1,,,,,,,,,,,,,,,,,,1.0,"No, I don't know any","No, because it doesn't matter",,"Sometimes, if it comes up",I'm not sure,Yes,51-75%,0,,,,,,,,,,,,,,,Yes,Yes,Yes,1,Yes,Sometimes,Often,No,7,Yes,Maybe,0.0,,,8.0,I've always been self-employed,I've always been self-employed,2.0,23.0,,Canada,,,Canada,,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Attention Deficit Hyperactivity Disorder",
202,0,More than 1000,1.0,1.0,Yes,No,No,Yes,I don't know,I don't know,Physical health,Yes,1.0,Maybe,0.0,0.0,3.0,2.0,,,,,,,,,1,1.0,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,3.0,2.0,No,,Yes,0,Yes,Not applicable to me,Not applicable to me,No,10,Yes,Maybe,0.0,,,6.0,"Yes, I observed","Yes, I experienced",2.0,31.0,Male,United States of America,California,,United States of America,California,,,,"I've mentioned that I sometimes have high-anxiety days where I don't get much done or talk to people. My lead just nodded and said something like ""happens to everyone, hope you feel better""., To pick one example, treating anxiety and depression as ""not our problem, get your work done"", Flexibility, allowing people to work their own way., Ashkenazi"
203,0,100-500,1.0,1.0,Yes,Yes,No,No,Yes,Neither easy nor difficult,Physical health,Yes,0.0,Maybe,1.0,0.0,6.0,6.0,,,,,,,,,1,1.0,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",Physical health,Some of my previous supervisors,0.0,At some of my previous employers,0.0,0.0,7.0,5.0,Yes,Yes,Yes,1,Yes,Sometimes,Sometimes,No,8,Yes,No,0.0,,,4.0,No,No,2.0,30.0,M,United States of America,California,White,United States of America,California,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc)","Social contexts - hey, it's been a rough week, new med is kicking my ass, etc., More open conversations."
204,1,,,,,,,,,,,,,,,,,,0.0,I know some,Not applicable to me,,Not applicable to me,Not applicable to me,Not applicable to me,,1,0.0,"Yes, they all did","Yes, I was aware of all of them",Some did,None did,"Yes, always",Same level of comfort for each,"Yes, all of my previous supervisors",0.0,At some of my previous employers,0.0,0.0,0.0,0.0,No,,No,0,No,Not applicable to me,Not applicable to me,No,8,No,No,0.0,,,5.0,No,"Yes, I observed",5.0,42.0,male (hey this is the tech industry you're talking about),United Kingdom,,,United Kingdom,,,,,"In US tech start-ups should offer private healthcare (UK we have National Health Service). 
Take care not to stress people over measurements such as commits/day, story points etc., The ""rockstar"" who ""can do everything"" may actually be stressed out of his head.  
Out of hours work should automatically earn time off in lieu, not be expected ""part of the job"". Have a maximum working hours a week limit."
205,0,More than 1000,1.0,1.0,I don't know,No,No,Yes,I don't know,Somewhat difficult,Physical health,No,0.0,Maybe,0.0,1.0,8.0,3.0,,,,,,,,,1,1.0,Some did,I was aware of some,None did,Some did,I don't know,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,6.0,1.0,Yes,Yes,Yes,1,Yes,Rarely,Sometimes,,5,Maybe,No,0.0,,,1.0,"Yes, I experienced",Maybe/Not sure,2.0,26.0,female (cis),United States of America,New York,White,United States of America,New York,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Post-traumatic Stress Disorder","Had conversations about accommodating ADHD and ensuring neurodiverse people can succeed on the team, I do not feel comfortable disclosing mental health issues due to American medical insurance (preexisting issue, could lose coverage?) and lack of legal protections for the mentally ill"
206,0,100-500,0.0,1.0,Yes,Yes,No,No,I don't know,Somewhat easy,Physical health,Maybe,0.0,Yes,1.0,1.0,3.0,1.0,,,,,,,,,1,1.0,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,Physical health,Some of my previous supervisors,1.0,At some of my previous employers,1.0,0.0,2.0,1.0,No,,Possibly,1,Yes,Rarely,Sometimes,No,10,Maybe,Maybe,0.0,,,6.0,"Yes, I observed","Yes, I observed",3.0,29.0,Female,Germany,,,Germany,,,,,"it came up in a conversation where she mentioned going to therapy so I shared my therapy experience as well, I mentioned that I was going to therapy to deal with my mental health issues, they did not question me about this but indicated that they see this as a useful way of dealing with problems, I don't remember any specific conversation. I had a very good relationship with some of my previous coworkers and discussed personal topics with them. I am sure that the topic of mental health came up several times and I was not met with a negative response. , I don't know much about the industry as a whole. From my filter bubble on social media, I see a lot of people in tech who care about this issue and who share positive and negative experiences. But I have no idea if this is a meaningful sample., In Germany, mental health treatment is part of the health care that every employer has to provide for their employees. I don't know if there are employers who provide more than what the public health care plans do"
207,0,More than 1000,0.0,1.0,Yes,Yes,No,Yes,I don't know,Somewhat easy,Physical health,Maybe,0.0,Maybe,0.0,0.0,7.0,5.0,,,,,,,,,1,0.0,Some did,I was aware of some,None did,Some did,I don't know,Physical health,Some of my previous supervisors,0.0,At some of my previous employers,0.0,1.0,7.0,5.0,Possibly,,Possibly,0,No,Rarely,Sometimes,Maybe,4,Maybe,No,0.0,,,4.0,"Yes, I observed",No,2.0,35.0,Male,United States of America,Alaska,White,United States of America,Alaska,,"Mood Disorder (Depression, Bipolar Disorder, etc)",,"Another coworker had committed suicide, so there was quite a bit of discussion regarding their mental health., Again, in the case of the past coworker who had committed suicide. It was handled poorly before and after the incident., More support, with less stigma attached to it. Be more open and accepting about it."
208,1,,,,,,,,,,,,,,,,,,1.0,"No, I don't know any",Not applicable to me,,Not applicable to me,Not applicable to me,No,,1,1.0,"No, none did",N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,0.0,At some of my previous employers,0.0,0.0,7.0,4.0,No,,No,0,Yes,Not applicable to me,Not applicable to me,,7,Yes,No,0.0,,,6.0,No,No,2.0,31.0,Male,Spain,,,Spain,,,,,"It's completely a taboo topic. I've read something on the internet, but never in the workplace. There should be more focus on it."
209,0,More than 1000,1.0,1.0,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Physical health,Maybe,0.0,No,0.0,0.0,8.0,3.0,,,,,,,,,1,1.0,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,0.0,At some of my previous employers,0.0,0.0,5.0,3.0,No,,Don't Know,0,Yes,Not applicable to me,Not applicable to me,,0,Maybe,No,0.0,,,1.0,Maybe/Not sure,No,1.0,26.0,God King of the Valajar,United States of America,Minnesota,White,United States of America,Minnesota,,,,
210,0,100-500,1.0,1.0,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Same level of comfort for each,Yes,0.0,No,0.0,0.0,6.0,6.0,,,,,,,,,1,0.0,"Yes, they all did",I was aware of some,"Yes, they all did",Some did,I don't know,Same level of comfort for each,"Yes, all of my previous supervisors",0.0,"Yes, at all of my previous employers",0.0,0.0,8.0,8.0,Possibly,,Possibly,1,Yes,Rarely,Rarely,No,7,No,No,0.0,,,6.0,No,No,3.0,30.0,Male,United States of America,California,White,United States of America,California,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc)",,"Care about people ,  "
